work_order_id,case_id,created_datetime,completed_datetime,campus_key,team_key,category,contractor_name,response_business_hours,completion_business_hours,on_time_flag,rework_flag,contractor_cost_aud,synthetic_label
WO-00059,CASE-007475,2024-09-27 18:43:00,2024-09-28 12:00:11,1,9,Cleanliness,CampusWorks Services,10.52,11.52,1,0,1044.55,Synthetic demonstration data — not actual University of Sydney results
WO-00060,CASE-006713,2026-03-19 14:33:00,2026-03-21 01:55:38,2,9,Security and lighting,Learning Spaces Technical,2.19,23.58,1,0,239.02,Synthetic demonstration data — not actual University of Sydney results
WO-00061,CASE-010207,2025-09-03 18:37:00,2025-09-04 20:01:50,1,8,Teaching room equipment,Metro Building Care,2.06,16.94,1,0,87.7,Synthetic demonstration data — not actual University of Sydney results
WO-00062,CASE-015185,2025-05-21 18:08:00,2025-05-22 13:18:02,1,10,Accessibility,CampusWorks Services,5.7,12.78,1,0,184.51,Synthetic demonstration data — not actual University of Sydney results
WO-00063,CASE-009814,2026-02-18 13:27:00,2026-02-19 22:19:42,1,9,Security and lighting,CampusWorks Services,3.99,21.92,1,0,136.37,Synthetic demonstration data — not actual University of Sydney results
WO-00064,CASE-015020,2025-06-16 08:38:00,2025-06-17 02:52:04,3,9,Study spaces,Metro Building Care,11.16,12.16,1,0,306.08,Synthetic demonstration data — not actual University of Sydney results
WO-00065,CASE-015397,2025-12-01 10:06:00,2025-12-02 07:34:34,2,9,Cleanliness,CampusWorks Services,5.32,14.32,0,1,249.4,Synthetic demonstration data — not actual University of Sydney results
WO-00066,CASE-012270,2025-03-21 12:32:00,2025-03-22 07:20:02,1,9,HVAC and temperature,CampusWorks Services,10.32,12.53,1,0,488.96,Synthetic demonstration data — not actual University of Sydney results
WO-00067,CASE-007229,2025-02-11 11:07:00,2025-02-14 17:09:10,1,9,HVAC and temperature,CampusWorks Services,10.28,52.02,0,0,126.21,Synthetic demonstration data — not actual University of Sydney results
WO-00068,CASE-005506,2026-08-06 13:08:00,2026-08-08 19:14:23,1,9,Cleanliness,Metro Building Care,3.23,36.07,1,0,449.53,Synthetic demonstration data — not actual University of Sydney results
WO-00069,CASE-000848,2025-02-13 13:30:00,2025-02-15 18:49:59,2,9,Security and lighting,Learning Spaces Technical,3.35,35.56,0,1,681.58,Synthetic demonstration data — not actual University of Sydney results
WO-00070,CASE-008200,2026-02-04 12:21:00,2026-02-09 06:09:13,1,9,HVAC and temperature,Learning Spaces Technical,18.77,75.87,0,0,100.69,Synthetic demonstration data — not actual University of Sydney results
WO-00071,CASE-000836,2025-11-20 08:21:00,2025-11-21 16:43:10,1,9,Cleanliness,Learning Spaces Technical,4.46,21.58,1,0,223.96,Synthetic demonstration data — not actual University of Sydney results
WO-00072,CASE-011486,2025-04-10 12:29:00,2025-04-11 04:47:10,2,8,Teaching room equipment,Metro Building Care,9.87,10.87,1,0,330.21,Synthetic demonstration data — not actual University of Sydney results
WO-00073,CASE-016123,2025-02-25 20:11:00,2025-02-28 17:54:06,2,9,HVAC and temperature,CampusWorks Services,2.73,46.48,1,0,261.55,Synthetic demonstration data — not actual University of Sydney results
WO-00074,CASE-017684,2024-11-28 16:06:00,2024-12-03 09:38:00,1,9,HVAC and temperature,Metro Building Care,5.19,75.69,0,0,107.69,Synthetic demonstration data — not actual University of Sydney results
WO-00075,CASE-009967,2026-03-03 14:00:00,2026-03-06 08:49:27,1,9,Security and lighting,Learning Spaces Technical,4.33,44.55,1,0,167.08,Synthetic demonstration data — not actual University of Sydney results
WO-00076,CASE-009355,2026-02-13 16:55:00,2026-02-14 20:40:10,1,9,HVAC and temperature,Metro Building Care,5.82,18.5,1,0,630.66,Synthetic demonstration data — not actual University of Sydney results
WO-00077,CASE-017631,2025-02-25 11:52:00,2025-02-27 23:03:02,1,9,HVAC and temperature,CampusWorks Services,4.04,39.46,1,0,184.23,Synthetic demonstration data — not actual University of Sydney results
WO-00078,CASE-006022,2025-07-29 12:36:00,2025-07-31 02:04:11,2,9,Security and lighting,CampusWorks Services,13.63,24.98,1,0,73.34,Synthetic demonstration data — not actual University of Sydney results
WO-00079,CASE-006052,2026-08-13 13:29:00,2026-08-15 04:51:21,1,9,HVAC and temperature,Learning Spaces Technical,11.42,26.25,1,0,941.42,Synthetic demonstration data — not actual University of Sydney results
WO-00080,CASE-016561,2026-05-13 14:14:00,2026-05-15 23:57:44,1,9,Study spaces,CampusWorks Services,17.07,38.49,1,0,954.94,Synthetic demonstration data — not actual University of Sydney results
WO-00081,CASE-014057,2026-01-30 13:53:00,2026-02-01 16:35:37,1,9,HVAC and temperature,Learning Spaces Technical,6.79,33.81,0,0,255.77,Synthetic demonstration data — not actual University of Sydney results
WO-00082,CASE-013714,2025-09-15 20:31:00,2025-09-24 19:59:49,1,9,HVAC and temperature,Learning Spaces Technical,11.73,143.65,1,0,288.13,Synthetic demonstration data — not actual University of Sydney results
WO-00083,CASE-015746,2026-07-06 10:49:00,2026-07-07 19:59:40,2,9,Cleanliness,CampusWorks Services,4.31,22.12,1,0,400.45,Synthetic demonstration data — not actual University of Sydney results
WO-00084,CASE-015699,2024-09-08 12:49:00,2024-09-09 17:24:59,1,9,Security and lighting,Metro Building Care,7.37,19.07,1,0,367.58,Synthetic demonstration data — not actual University of Sydney results
WO-00085,CASE-014340,2026-01-20 14:01:00,2026-01-21 23:07:59,1,9,HVAC and temperature,Metro Building Care,14.52,22.08,1,0,299.51,Synthetic demonstration data — not actual University of Sydney results
WO-00086,CASE-009375,2025-10-16 13:06:00,2025-10-17 13:33:45,1,9,Cleanliness,Learning Spaces Technical,1.7,16.31,1,1,320.01,Synthetic demonstration data — not actual University of Sydney results
WO-00087,CASE-013403,2026-03-24 19:10:00,2026-03-25 06:34:25,1,10,Accessibility,CampusWorks Services,2.45,7.6,1,0,634.76,Synthetic demonstration data — not actual University of Sydney results
WO-00088,CASE-010997,2025-08-01 19:59:00,2025-08-02 23:02:38,1,9,HVAC and temperature,Learning Spaces Technical,5.27,18.04,0,1,185.5,Synthetic demonstration data — not actual University of Sydney results
WO-00089,CASE-004175,2025-03-03 08:24:00,2025-03-05 12:17:08,1,9,HVAC and temperature,Learning Spaces Technical,33.59,34.59,1,0,236.48,Synthetic demonstration data — not actual University of Sydney results
WO-00090,CASE-017953,2025-05-22 20:52:00,2025-05-23 12:47:09,1,9,Cleanliness,Metro Building Care,4.67,10.61,1,0,624.12,Synthetic demonstration data — not actual University of Sydney results
WO-00091,CASE-005357,2026-04-20 19:00:00,2026-04-21 10:58:07,1,9,Cleanliness,CampusWorks Services,9.65,10.65,0,0,577.93,Synthetic demonstration data — not actual University of Sydney results
WO-00092,CASE-002796,2026-02-27 10:07:00,2026-03-01 15:29:49,3,9,Study spaces,Learning Spaces Technical,1.41,35.59,0,0,282.15,Synthetic demonstration data — not actual University of Sydney results
WO-00093,CASE-005247,2026-03-22 08:34:00,2026-03-27 19:42:14,1,9,HVAC and temperature,CampusWorks Services,13.79,87.42,1,0,244.24,Synthetic demonstration data — not actual University of Sydney results
WO-00094,CASE-000731,2026-02-27 14:33:00,2026-02-28 00:40:00,2,8,Teaching room equipment,Learning Spaces Technical,2.34,6.74,1,0,165.73,Synthetic demonstration data — not actual University of Sydney results
WO-00095,CASE-008978,2025-02-18 14:53:00,2025-02-19 19:57:01,1,9,Security and lighting,Metro Building Care,3.42,19.38,1,0,691.1,Synthetic demonstration data — not actual University of Sydney results
WO-00096,CASE-015117,2025-06-13 16:30:00,2025-06-14 14:26:31,1,9,Security and lighting,Learning Spaces Technical,10.76,14.63,0,0,111.43,Synthetic demonstration data — not actual University of Sydney results
WO-00097,CASE-009250,2026-03-06 11:48:00,2026-03-08 16:24:01,1,10,Accessibility,Learning Spaces Technical,2.97,35.07,1,0,471.22,Synthetic demonstration data — not actual University of Sydney results
WO-00098,CASE-017135,2026-03-09 09:16:00,2026-03-10 14:16:06,1,9,Security and lighting,CampusWorks Services,6.24,19.33,1,0,235.39,Synthetic demonstration data — not actual University of Sydney results
WO-00099,CASE-017025,2025-02-19 19:45:00,2025-02-21 11:46:07,1,9,Security and lighting,Learning Spaces Technical,3.76,26.68,1,0,37.71,Synthetic demonstration data — not actual University of Sydney results
WO-00100,CASE-013171,2026-02-19 14:14:00,2026-02-22 00:06:36,1,8,Teaching room equipment,Learning Spaces Technical,12.61,38.58,0,0,295.28,Synthetic demonstration data — not actual University of Sydney results
WO-00101,CASE-009148,2026-03-02 14:10:00,2026-03-03 20:34:31,1,8,Teaching room equipment,Metro Building Care,4.53,20.27,1,0,544.09,Synthetic demonstration data — not actual University of Sydney results
WO-00102,CASE-004293,2025-11-25 15:55:00,2025-11-28 00:07:12,1,9,Study spaces,CampusWorks Services,4.73,37.47,1,0,597.43,Synthetic demonstration data — not actual University of Sydney results
WO-00103,CASE-001789,2025-05-23 12:55:00,2025-05-31 04:42:28,1,9,Study spaces,Metro Building Care,12.03,122.53,1,0,1307.43,Synthetic demonstration data — not actual University of Sydney results
WO-00104,CASE-005788,2026-04-03 20:08:00,2026-04-06 00:33:12,1,9,HVAC and temperature,CampusWorks Services,10.7,34.95,1,0,732.37,Synthetic demonstration data — not actual University of Sydney results
WO-00105,CASE-007651,2026-02-12 17:11:00,2026-02-14 04:59:24,1,10,Accessibility,Learning Spaces Technical,6.21,23.87,1,0,323.18,Synthetic demonstration data — not actual University of Sydney results
WO-00106,CASE-000787,2024-12-20 12:56:00,2024-12-21 22:18:31,1,9,HVAC and temperature,Learning Spaces Technical,11.12,22.25,1,0,380.28,Synthetic demonstration data — not actual University of Sydney results
WO-00107,CASE-016132,2025-08-11 18:17:00,2025-08-12 10:59:28,1,9,Security and lighting,Learning Spaces Technical,2.65,11.14,1,0,450.91,Synthetic demonstration data — not actual University of Sydney results
WO-00108,CASE-015629,2026-02-24 13:31:00,2026-02-25 17:44:00,1,9,HVAC and temperature,CampusWorks Services,6.6,18.81,1,0,299.38,Synthetic demonstration data — not actual University of Sydney results
WO-00109,CASE-001385,2024-09-08 08:12:00,2024-09-08 23:30:58,1,8,Teaching room equipment,CampusWorks Services,8.43,10.21,1,0,645.43,Synthetic demonstration data — not actual University of Sydney results
WO-00110,CASE-005423,2025-10-23 17:00:00,2025-10-24 11:15:00,3,9,Study spaces,CampusWorks Services,5.41,12.17,1,0,363.7,Synthetic demonstration data — not actual University of Sydney results
WO-00111,CASE-006004,2026-02-04 17:15:00,2026-02-06 09:20:33,2,8,Teaching room equipment,Metro Building Care,8.17,26.73,0,0,92.68,Synthetic demonstration data — not actual University of Sydney results
WO-00112,CASE-001936,2026-02-11 18:47:00,2026-02-12 19:33:01,1,9,Security and lighting,Metro Building Care,5.61,16.51,0,0,439.44,Synthetic demonstration data — not actual University of Sydney results
WO-00113,CASE-008116,2026-02-06 10:37:00,2026-02-07 21:25:47,3,10,Accessibility,Learning Spaces Technical,3.51,23.21,1,0,550.9,Synthetic demonstration data — not actual University of Sydney results
WO-00114,CASE-001446,2026-05-06 13:46:00,2026-05-09 06:42:02,1,9,Cleanliness,CampusWorks Services,4.25,43.29,0,0,157.54,Synthetic demonstration data — not actual University of Sydney results
WO-00115,CASE-011535,2025-11-25 14:19:00,2025-11-26 13:45:57,2,10,Accessibility,Learning Spaces Technical,8.96,15.63,1,0,2464.77,Synthetic demonstration data — not actual University of Sydney results
WO-00116,CASE-015946,2025-07-11 11:50:00,2025-07-13 00:22:07,1,9,Cleanliness,Metro Building Care,0.87,24.36,1,0,72.65,Synthetic demonstration data — not actual University of Sydney results
WO-00117,CASE-002033,2025-06-24 13:02:00,2025-06-25 23:57:42,1,10,Accessibility,Learning Spaces Technical,6.22,23.29,1,0,388.82,Synthetic demonstration data — not actual University of Sydney results
WO-00118,CASE-011439,2026-06-29 19:23:00,2026-06-30 14:03:31,3,10,Accessibility,Metro Building Care,7.17,12.45,1,0,449.97,Synthetic demonstration data — not actual University of Sydney results
WO-00119,CASE-015425,2025-05-27 16:03:00,2025-05-31 05:20:13,1,9,HVAC and temperature,Metro Building Care,3.86,56.86,1,1,309.36,Synthetic demonstration data — not actual University of Sydney results
WO-00120,CASE-000739,2024-10-28 16:24:00,2024-10-30 09:25:52,3,9,Cleanliness,Learning Spaces Technical,2.09,27.35,1,0,839.88,Synthetic demonstration data — not actual University of Sydney results
WO-00121,CASE-003380,2025-10-28 15:52:00,2025-10-30 00:00:09,1,9,Security and lighting,Metro Building Care,8.25,21.42,0,1,712.9,Synthetic demonstration data — not actual University of Sydney results
WO-00122,CASE-017358,2026-02-16 13:07:00,2026-02-16 21:28:07,2,8,Teaching room equipment,CampusWorks Services,4.57,5.57,1,0,226.02,Synthetic demonstration data — not actual University of Sydney results
WO-00123,CASE-011304,2025-12-09 13:18:00,2025-12-11 17:32:29,3,9,Study spaces,CampusWorks Services,10.49,34.83,1,0,183.07,Synthetic demonstration data — not actual University of Sydney results
WO-00124,CASE-003323,2026-06-04 17:29:00,2026-06-06 15:41:59,1,8,Teaching room equipment,Learning Spaces Technical,3.65,30.81,1,0,398.53,Synthetic demonstration data — not actual University of Sydney results
WO-00125,CASE-000244,2025-07-01 16:19:00,2025-07-03 21:28:15,1,9,HVAC and temperature,CampusWorks Services,8.49,35.44,0,0,516.07,Synthetic demonstration data — not actual University of Sydney results
WO-00126,CASE-006815,2026-06-23 10:43:00,2026-06-24 18:00:36,1,9,Security and lighting,CampusWorks Services,6.87,20.86,0,0,318.22,Synthetic demonstration data — not actual University of Sydney results
WO-00127,CASE-003537,2026-03-25 15:24:00,2026-03-27 11:10:52,1,9,Study spaces,Learning Spaces Technical,5.39,29.19,1,0,385.72,Synthetic demonstration data — not actual University of Sydney results
WO-00128,CASE-013626,2026-05-13 14:39:00,2026-05-15 04:09:16,1,9,Security and lighting,Metro Building Care,10.34,25.0,1,0,185.95,Synthetic demonstration data — not actual University of Sydney results
WO-00129,CASE-015612,2026-01-02 15:15:00,2026-01-03 13:02:11,3,9,HVAC and temperature,CampusWorks Services,8.51,14.52,1,0,194.44,Synthetic demonstration data — not actual University of Sydney results
WO-00130,CASE-005915,2025-08-06 16:41:00,2025-08-07 11:25:01,3,9,Cleanliness,Metro Building Care,8.4,12.49,1,1,1374.63,Synthetic demonstration data — not actual University of Sydney results
WO-00131,CASE-009033,2025-01-15 15:20:00,2025-01-16 02:45:20,1,9,Cleanliness,Metro Building Care,6.61,7.61,1,0,143.2,Synthetic demonstration data — not actual University of Sydney results
WO-00132,CASE-010915,2025-12-31 19:50:00,2026-01-03 13:54:18,1,9,Study spaces,Learning Spaces Technical,4.85,44.05,0,0,215.32,Synthetic demonstration data — not actual University of Sydney results
WO-00133,CASE-009868,2026-08-07 10:06:00,2026-08-07 22:59:06,1,10,Accessibility,Learning Spaces Technical,1.45,8.59,1,0,631.36,Synthetic demonstration data — not actual University of Sydney results
WO-00134,CASE-005741,2026-07-09 17:05:00,2026-07-11 12:14:19,1,9,Cleanliness,CampusWorks Services,6.23,28.77,1,0,360.26,Synthetic demonstration data — not actual University of Sydney results
WO-00135,CASE-013823,2024-12-09 17:42:00,2024-12-10 09:44:24,1,9,Cleanliness,Metro Building Care,4.19,10.69,1,0,915.88,Synthetic demonstration data — not actual University of Sydney results
WO-00136,CASE-007781,2025-08-22 12:35:00,2025-08-23 16:51:49,1,9,Security and lighting,Metro Building Care,4.49,18.85,1,0,633.05,Synthetic demonstration data — not actual University of Sydney results
WO-00137,CASE-012612,2025-10-08 19:41:00,2025-10-10 22:14:41,1,9,Study spaces,Learning Spaces Technical,8.3,33.71,1,1,238.25,Synthetic demonstration data — not actual University of Sydney results
WO-00138,CASE-011632,2026-05-11 18:13:00,2026-05-12 23:13:58,1,10,Accessibility,Learning Spaces Technical,6.11,19.34,1,0,314.87,Synthetic demonstration data — not actual University of Sydney results
WO-00139,CASE-016235,2026-06-10 15:48:00,2026-06-12 07:33:10,1,9,HVAC and temperature,Metro Building Care,7.1,26.5,1,0,143.53,Synthetic demonstration data — not actual University of Sydney results
WO-00140,CASE-010125,2026-02-12 10:03:00,2026-02-14 07:52:32,1,8,Teaching room equipment,Learning Spaces Technical,6.42,30.55,1,0,559.82,Synthetic demonstration data — not actual University of Sydney results
WO-00141,CASE-008823,2026-03-04 08:23:00,2026-03-10 22:11:27,1,9,HVAC and temperature,Metro Building Care,6.59,105.21,1,1,447.07,Synthetic demonstration data — not actual University of Sydney results
