week_start,week_date_key,team_key,service_key,fte_available,absence_rate,staffed_hours,cases_received,required_handle_hours,forecast_handle_hours,capacity_gap_hours,capacity_gap_pct,synthetic_label
2024-10-07 00:00:00,20241007,7,2,1.85,0.0654,47.26,5,5.98,5.45,-41.28,-0.8735,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,8,3,1.38,0.06,35.6,3,4.09,4.09,-31.51,-0.8851,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,9,3,1.37,0.0453,35.72,12,13.99,14.35,-21.73,-0.6083,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,10,3,1.49,0.0356,39.37,6,7.99,8.23,-31.38,-0.797,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,1,1,1.7,0.0479,44.17,15,19.81,18.69,-24.36,-0.5515,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,2,1,1.85,0.0434,48.33,15,25.5,23.8,-22.83,-0.4724,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,3,1,2.09,0.0749,52.97,13,12.25,11.69,-40.72,-0.7687,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,4,1,2.09,0.0569,53.84,26,28.84,29.39,-25.0,-0.4643,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,5,2,2.05,0.0532,53.17,35,34.86,32.38,-18.31,-0.3444,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,6,2,1.93,0.1062,47.12,5,8.09,7.51,-39.03,-0.8283,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,7,2,2.0,0.0713,50.81,13,16.71,15.38,-34.1,-0.6712,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,8,3,1.68,0.0977,41.45,10,12.57,13.41,-28.88,-0.6967,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,9,3,1.66,0.0316,44.03,20,26.56,25.3,-17.47,-0.3967,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,10,3,1.59,0.1045,38.93,5,5.45,5.45,-33.48,-0.86,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,1,1,2.02,0.0494,52.51,18,21.75,20.13,-30.76,-0.5858,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,2,1,2.1,0.0667,53.6,17,20.99,22.5,-32.61,-0.6084,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,3,1,1.82,0.0729,46.08,12,11.1,10.39,-34.98,-0.7591,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,4,1,1.92,0.0678,49.09,31,37.11,37.31,-11.98,-0.244,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,5,2,1.96,0.0271,52.13,28,31.81,30.98,-20.32,-0.3898,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,6,2,2.17,0.1024,53.17,11,10.97,10.13,-42.2,-0.7937,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,7,2,1.97,0.0937,48.91,8,8.03,8.63,-40.88,-0.8358,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,8,3,1.51,0.1108,36.79,1,0.88,0.85,-35.91,-0.9761,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,9,3,1.42,0.0342,37.65,23,28.1,30.22,-9.55,-0.2536,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,10,3,1.41,0.0518,36.54,3,3.41,3.56,-33.13,-0.9067,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,1,1,2.03,0.0764,51.39,11,16.02,15.96,-35.37,-0.6883,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,2,1,2.0,0.0778,50.44,17,22.62,21.7,-27.82,-0.5515,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,3,1,1.96,0.022,52.41,16,19.88,19.21,-32.53,-0.6206,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,4,1,1.98,0.0509,51.49,30,32.53,34.46,-18.96,-0.3682,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,5,2,2.13,0.0879,53.2,24,27.81,27.75,-25.39,-0.4773,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,6,2,2.17,0.0283,57.62,11,10.84,11.48,-46.78,-0.8119,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,7,2,2.09,0.0485,54.44,3,3.89,3.71,-50.55,-0.9286,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,8,3,1.63,0.0876,40.75,3,4.43,4.75,-36.32,-0.8913,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,9,3,1.61,0.1021,39.56,27,34.8,36.97,-4.76,-0.1202,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,10,3,1.37,0.0802,34.42,12,11.34,11.71,-23.08,-0.6706,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,1,1,1.99,0.0787,50.19,16,21.41,20.37,-28.78,-0.5734,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,2,1,1.92,0.0211,51.41,17,18.7,20.06,-32.71,-0.6363,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,3,1,1.84,0.0931,45.65,14,15.74,14.89,-29.91,-0.6552,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,4,1,1.81,0.0567,46.73,29,37.15,40.01,-9.58,-0.205,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,5,2,1.88,0.0669,48.08,31,38.4,38.86,-9.68,-0.2013,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,6,2,2.13,0.0665,54.33,12,10.46,10.43,-43.87,-0.8075,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,7,2,1.91,0.0635,49.02,7,7.27,7.62,-41.75,-0.8517,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,8,3,1.4,0.0621,35.97,5,4.72,4.47,-31.25,-0.8688,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,9,3,1.4,0.0611,35.98,18,24.37,25.59,-11.61,-0.3227,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,10,3,1.63,0.0873,40.6,5,6.45,6.84,-34.15,-0.8411,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,1,1,1.75,0.0705,44.54,9,10.69,11.29,-33.85,-0.76,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,2,1,1.83,0.0653,46.69,14,17.59,17.53,-29.1,-0.6232,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,3,1,1.95,0.0795,48.99,18,21.13,22.19,-27.86,-0.5687,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,4,1,1.93,0.0185,51.95,32,34.87,34.58,-17.08,-0.3287,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,5,2,2.17,0.078,54.76,46,54.6,54.98,-0.16,-0.0029,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,6,2,2.13,0.0973,52.51,9,8.67,8.71,-43.84,-0.8349,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,7,2,2.11,0.059,54.38,9,11.2,10.83,-43.18,-0.794,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,8,3,1.41,0.029,37.58,4,5.16,5.53,-32.42,-0.8627,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,9,3,1.45,0.0352,38.34,20,20.85,19.99,-17.49,-0.4561,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,10,3,1.41,0.0881,35.16,4,3.66,3.53,-31.5,-0.8959,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,1,1,1.73,0.0745,43.92,12,14.14,14.34,-29.78,-0.6781,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,2,1,2.03,0.0709,51.57,16,20.71,19.05,-30.86,-0.5984,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,3,1,2.07,0.0687,52.84,12,11.78,11.82,-41.06,-0.7771,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,4,1,2.01,0.0749,50.97,39,42.76,43.48,-8.21,-0.1611,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,5,2,1.99,0.0881,49.71,31,34.82,34.36,-14.89,-0.2996,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,6,2,1.82,0.0938,45.15,8,9.43,9.81,-35.72,-0.7911,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,7,2,1.82,0.0228,48.68,6,5.94,6.4,-42.74,-0.878,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,8,3,1.36,0.0795,34.27,2,1.95,1.98,-32.32,-0.9431,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,9,3,1.66,0.0611,42.6,23,28.69,27.46,-13.91,-0.3266,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,10,3,1.51,0.0352,39.88,4,6.08,6.16,-33.8,-0.8475,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,1,1,1.97,0.0821,49.59,16,23.51,21.87,-26.08,-0.5259,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,2,1,1.69,0.0725,42.92,15,24.77,26.5,-18.15,-0.4229,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,3,1,2.08,0.0534,53.85,14,19.24,20.68,-34.61,-0.6427,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,4,1,2.08,0.0328,55.11,27,30.27,32.06,-24.84,-0.4507,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,5,2,1.99,0.0573,51.26,32,34.78,32.08,-16.48,-0.3215,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,6,2,1.91,0.0914,47.51,7,5.81,5.32,-41.7,-0.8777,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,7,2,1.8,0.0198,48.36,8,7.98,7.53,-40.38,-0.835,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,8,3,1.65,0.0903,41.17,5,7.27,7.7,-33.9,-0.8234,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,9,3,1.42,0.0627,36.52,21,22.82,22.23,-13.7,-0.3751,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,10,3,1.42,0.0377,37.37,1,0.44,0.45,-36.93,-0.9882,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,1,1,1.82,0.051,47.35,15,22.46,20.79,-24.89,-0.5257,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,2,1,1.88,0.1187,45.39,13,18.03,19.4,-27.36,-0.6028,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,3,1,1.96,0.0752,49.67,17,18.05,16.61,-31.62,-0.6366,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,4,1,1.95,0.1064,47.6,25,28.79,29.47,-18.81,-0.3952,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,5,2,2.08,0.0725,52.69,37,36.58,34.65,-16.11,-0.3057,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,6,2,2.08,0.0615,53.32,6,6.88,6.42,-46.44,-0.871,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,7,2,2.06,0.0569,53.23,7,7.35,7.52,-45.88,-0.8619,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,8,3,1.58,0.0676,40.19,2,2.22,2.04,-37.97,-0.9448,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,9,3,1.45,0.0784,36.49,19,23.91,22.32,-12.58,-0.3447,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,10,3,1.4,0.0346,36.9,4,2.89,2.85,-34.01,-0.9217,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,1,1,1.91,0.0684,48.74,13,17.7,16.64,-31.04,-0.6369,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,2,1,2.03,0.0766,51.3,19,25.57,23.78,-25.73,-0.5016,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,3,1,1.87,0.1164,45.11,20,23.51,24.74,-21.6,-0.4788,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,4,1,2.0,0.0466,52.25,29,33.38,35.87,-18.87,-0.3611,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,5,2,1.8,0.0587,46.41,36,37.97,36.5,-8.44,-0.1818,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,6,2,2.1,0.0736,53.34,11,11.6,11.02,-41.74,-0.7825,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,7,2,1.92,0.0627,49.26,5,4.39,4.22,-44.87,-0.9109,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,8,3,1.38,0.084,34.6,5,7.91,7.35,-26.69,-0.7714,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,9,3,1.62,0.0892,40.43,20,22.79,24.22,-17.64,-0.4364,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,10,3,1.35,0.0934,33.54,2,3.38,3.47,-30.16,-0.8992,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,1,1,1.77,0.0263,47.23,21,26.93,28.35,-20.3,-0.4299,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,2,1,1.94,0.0367,51.17,12,14.86,15.75,-36.31,-0.7096,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,3,1,1.95,0.048,50.89,22,25.12,26.58,-25.77,-0.5064,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,4,1,1.87,0.05,48.65,19,19.74,21.12,-28.91,-0.5942,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,5,2,2.23,0.0342,58.82,27,31.03,31.9,-27.79,-0.4724,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,6,2,2.0,0.0734,50.58,6,5.03,4.68,-45.55,-0.9006,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,7,2,1.87,0.0461,48.68,5,6.3,6.71,-42.38,-0.8706,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,8,3,1.46,0.0329,38.58,2,0.98,1.06,-37.6,-0.9746,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,9,3,1.42,0.0631,36.37,25,30.11,30.86,-6.26,-0.172,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,10,3,1.43,0.0249,38.05,9,8.17,8.43,-29.88,-0.7853,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,1,1,1.77,0.0851,44.26,14,19.23,17.75,-25.03,-0.5655,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,2,1,2.05,0.0546,52.92,10,13.29,13.3,-39.63,-0.7489,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,3,1,1.73,0.0446,45.1,12,14.56,15.32,-30.54,-0.6772,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,4,1,2.0,0.0419,52.36,26,31.82,34.08,-20.54,-0.3923,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,5,2,1.82,0.0465,47.6,37,41.32,39.16,-6.28,-0.1319,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,6,2,2.05,0.0448,53.63,14,15.36,15.26,-38.27,-0.7136,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,7,2,2.04,0.1031,50.03,11,15.04,15.83,-34.99,-0.6994,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,8,3,1.41,0.0902,35.04,1,1.2,1.12,-33.84,-0.9657,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,9,3,1.51,0.0651,38.62,20,25.9,23.87,-12.72,-0.3294,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,10,3,1.51,0.0257,40.32,1,0.8,0.74,-39.52,-0.9802,Synthetic demonstration data — not actual University of Sydney results
