case_id,submitted_datetime,submitted_date_key,closed_datetime,service_key,team_key,campus_key,cohort_key,lifecycle_stage_key,channel_key,requester_type,case_type,category,priority,current_status,first_response_business_hours,triage_business_hours,assignment_business_hours,resolution_business_hours,first_response_sla_breached,resolution_sla_breached,handoff_count,reopened_flag,repeat_contact_14d,first_contact_resolution_flag,complexity_weight,staff_handle_hours,estimated_cost_aud,case_summary,synthetic_label,ai_theme,ai_summary,ai_recommended_owner,ai_confidence,ai_review_status,source_extract_ts
CASE-000011,2026-02-17 11:20:00,20260217,2026-02-19 04:49:54,2,7.0,2,4,3,1,Student,Enquiry,Wi-Fi and network,P4,Resolved,12.61,5.16,3.46,25.11,0,0,1,0,0,0,0.8,1.33,82.46,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000012,2025-05-22 12:22:00,20250522,2025-05-23 11:16:33,1,4.0,2,1,3,4,Student,Enquiry,Academic progression,P3,Resolved,9.24,3.87,3.21,12.45,0,0,1,0,0,0,0.9,1.05,65.1,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000013,2025-09-12 08:27:00,20250912,2025-09-16 06:39:32,3,10.0,1,6,5,4,Academic Staff,Enquiry,Accessibility,P4,Resolved,3.52,2.14,10.83,60.12,0,0,0,0,0,1,0.79,0.98,78.76,Service issue reported for accessibility at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000014,2025-09-04 17:26:00,20250904,2025-09-06 15:58:31,1,1.0,3,1,3,1,Student,Service Request,Enrolment changes,P4,Resolved,3.8,2.62,7.86,26.8,0,0,0,0,0,1,0.68,0.56,34.72,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000015,2024-11-08 16:54:00,20241108,2024-11-10 09:11:49,2,6.0,1,1,2,1,Student,Complaint,Learning platform,P3,Resolved,7.69,3.56,1.66,19.89,0,0,0,0,0,1,0.97,1.08,66.96,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000016,2024-09-25 09:46:00,20240925,2024-09-25 05:46:00,3,9.0,1,6,5,2,Academic Staff,Service Request,Cleanliness,P3,Resolved,3.98,1.85,8.2,30.54,0,0,0,0,0,1,1.01,0.97,78.14,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000017,2026-02-23 09:11:00,20260223,2026-02-25 19:05:51,2,5.0,1,6,5,3,Academic Staff,Service Request,Account access and login,P3,Resolved,4.01,1.69,4.27,32.79,0,0,0,0,0,1,1.06,0.62,38.44,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000018,2026-01-27 18:25:00,20260127,2026-01-29 20:43:49,2,5.0,3,1,3,3,Student,Complaint,Device and software,P3,Resolved,28.29,17.84,4.06,32.35,1,0,1,0,1,0,1.11,1.46,90.52,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000019,2026-07-27 11:55:00,20260727,2026-08-01 18:32:13,1,1.0,1,4,2,1,Student,Complaint,Enrolment changes,P4,Resolved,14.54,4.65,16.51,78.31,0,0,1,0,1,0,0.66,0.65,40.3,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000020,2025-09-17 12:34:00,20250917,2025-09-18 02:49:15,2,5.0,2,1,3,1,Student,Enquiry,Multi-factor authentication,P3,Resolved,1.74,1.29,2.04,8.28,0,0,0,0,0,1,0.99,0.66,40.92,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000021,2026-03-23 15:28:00,20260323,2026-03-26 18:58:30,1,2.0,1,3,2,1,Student,Service Request,Timetable and class allocation,P3,Resolved,4.48,2.01,7.22,43.54,0,1,2,0,0,0,0.99,1.93,119.66,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000022,2025-11-24 14:38:00,20251124,2025-11-27 23:59:56,1,1.0,1,5,2,1,Student,Service Request,Enrolment changes,P4,Resolved,11.67,4.9,16.91,46.78,0,0,0,0,0,1,0.73,0.54,33.48,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000023,2025-04-24 14:27:00,20250424,2025-04-25 15:00:25,1,2.0,1,4,3,1,Student,Enquiry,Timetable and class allocation,P4,Resolved,6.31,3.74,5.72,15.75,0,0,2,0,0,0,0.68,1.24,76.88,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000024,2024-12-01 12:48:00,20241201,2024-12-04 07:58:29,3,9.0,2,4,3,1,Student,Service Request,HVAC and temperature,P2,Resolved,1.83,0.84,7.85,37.61,0,1,0,0,0,1,1.76,1.77,127.74,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000025,2026-03-15 12:41:00,20260315,2026-03-16 14:26:36,2,5.0,2,2,3,1,Student,Service Request,Account access and login,P3,Resolved,3.97,2.03,1.68,13.59,0,0,2,0,0,0,0.96,1.75,108.5,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000026,2025-09-05 13:15:00,20250905,2025-09-07 19:26:05,3,9.0,1,6,5,1,Academic Staff,Service Request,Cleanliness,P3,Resolved,3.75,1.87,7.58,32.48,0,0,1,0,1,0,1.05,0.9,73.8,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000027,2025-01-21 15:33:00,20250121,2025-01-22 11:13:46,2,6.0,2,1,3,1,Student,Service Request,Learning platform,P3,Withdrawn,4.54,2.12,1.53,,0,0,1,0,1,0,1.09,1.4,86.8,Unable to complete a university task because of learning platform.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000028,2024-10-26 18:06:00,20241026,2024-10-31 13:18:06,2,5.0,1,3,2,4,Student,Complaint,Account access and login,P3,Resolved,7.69,3.47,18.94,72.05,0,1,2,0,1,0,0.96,1.47,91.14,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000029,2025-10-31 16:54:00,20251031,2025-11-02 14:31:18,2,5.0,1,3,2,4,Student,Enquiry,Account access and login,P3,Resolved,18.63,10.19,5.67,24.3,1,0,0,0,1,0,0.96,0.91,56.42,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000030,2025-03-26 13:40:00,20250326,2025-03-31 09:09:36,1,3.0,1,1,3,3,Student,Service Request,Fees and payments,P3,Resolved,3.95,1.06,7.06,69.36,0,1,2,0,1,0,0.96,1.91,118.42,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000031,2025-03-07 08:11:00,20250307,2025-03-11 23:31:12,1,1.0,1,1,2,1,Student,Service Request,Enrolment changes,P3,Resolved,10.13,3.19,8.32,65.38,0,1,1,0,1,0,1.15,1.46,90.52,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000032,2025-01-17 10:36:00,20250117,2025-01-20 11:04:02,2,5.0,1,6,5,2,Academic Staff,Service Request,Account access and login,P3,Resolved,9.99,5.23,4.86,44.39,0,1,2,0,1,0,0.93,1.49,92.38,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000033,2025-06-12 19:38:00,20250612,2025-06-14 11:49:15,2,5.0,1,4,3,4,Student,Service Request,Account access and login,P4,Resolved,4.5,1.68,3.64,20.25,0,0,0,0,0,1,0.62,0.65,40.3,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000034,2024-09-13 11:21:00,20240913,2024-09-14 09:56:22,1,4.0,1,3,4,2,Student,Idea,Academic progression,P4,Resolved,5.3,3.28,2.41,11.75,0,0,0,0,0,1,0.65,0.83,51.46,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000035,2025-11-03 12:49:00,20251103,2025-11-09 02:23:55,3,9.0,1,5,2,4,Student,Enquiry,HVAC and temperature,P3,Resolved,19.98,6.78,11.7,81.25,1,1,0,0,0,1,0.96,0.88,72.56,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000036,2026-03-08 13:38:00,20260308,2026-03-17 01:09:15,2,5.0,1,4,2,2,Student,Service Request,Account access and login,P3,Resolved,6.05,3.14,14.79,128.85,0,1,0,1,0,0,1.15,1.33,82.46,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000037,2025-05-30 16:26:00,20250530,2025-06-06 12:11:38,1,4.0,1,4,3,2,Student,Enquiry,Documents and letters,P3,Resolved,11.55,8.46,16.31,101.93,0,1,0,0,1,0,1.11,0.52,32.24,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000038,2024-09-28 15:18:00,20240928,2024-09-29 23:36:07,2,5.0,1,1,2,5,Student,Service Request,Multi-factor authentication,P2,Resolved,5.61,2.52,3.09,18.11,0,1,1,0,0,0,1.64,2.47,153.14,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000039,2025-05-22 08:55:00,20250522,2025-05-24 10:22:39,3,9.0,1,2,3,2,Student,Enquiry,HVAC and temperature,P3,Resolved,12.61,4.55,2.72,29.68,0,0,2,0,0,0,1.0,1.42,106.04,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000040,2025-10-13 15:53:00,20251013,2025-10-16 07:40:17,2,7.0,1,3,4,1,Student,Enquiry,Wi-Fi and network,P2,Resolved,5.43,3.52,7.07,37.07,0,1,0,0,0,1,1.91,1.49,92.38,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000041,2026-08-14 16:07:00,20260814,,3,9.0,1,6,5,3,Academic Staff,Enquiry,Security and lighting,P3,Triaged,2.4,1.54,4.66,,0,0,1,0,1,0,0.86,0.81,68.22,Service issue reported for security and lighting at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000042,2025-11-30 13:32:00,20251130,2025-12-02 12:30:42,1,4.0,2,2,3,1,Student,Service Request,Documents and letters,P3,Resolved,6.05,3.96,4.84,27.37,0,0,2,0,1,0,1.18,1.25,77.5,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000043,2026-05-18 11:39:00,20260518,2026-05-20 14:51:35,1,4.0,1,1,3,1,Student,Service Request,Academic progression,P2,Resolved,26.67,10.89,4.03,30.7,1,1,0,0,0,1,1.48,1.15,71.3,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000044,2024-10-01 13:07:00,20241001,2024-10-06 16:30:57,1,4.0,1,5,4,1,Student,Service Request,Documents and letters,P3,Resolved,14.4,10.14,10.87,75.83,0,1,1,0,1,0,0.91,0.86,53.32,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000045,2026-03-12 15:04:00,20260312,2026-03-14 09:00:58,1,4.0,1,1,4,4,Student,Service Request,Academic progression,P3,Resolved,3.46,1.19,3.49,26.17,0,0,0,0,1,0,0.88,0.94,58.28,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000046,2025-03-14 16:31:00,20250314,2025-03-17 06:38:16,2,5.0,1,6,5,2,Academic Staff,Idea,Account access and login,P2,Resolved,3.35,2.36,7.67,38.11,0,1,0,0,0,1,1.62,1.96,121.52,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000047,2024-09-06 17:52:00,20240906,2024-09-11 21:29:22,3,9.0,1,1,2,2,Student,Complaint,HVAC and temperature,P3,Resolved,17.51,6.14,10.15,74.37,1,1,0,0,1,0,0.91,0.68,60.16,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000048,2025-06-11 12:52:00,20250611,2025-06-12 05:31:14,1,4.0,1,5,4,1,Student,Enquiry,Academic progression,P3,Resolved,3.56,1.71,1.99,9.87,0,0,0,0,0,1,1.06,0.83,51.46,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000049,2025-05-27 13:47:00,20250527,2025-05-30 14:09:46,1,3.0,1,1,3,4,Student,Idea,Fees and payments,P3,Resolved,3.45,1.34,4.57,44.63,0,1,0,0,0,1,1.02,1.01,62.62,Request for help with fees and payments and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000050,2025-02-01 17:36:00,20250201,2025-02-04 01:36:34,1,4.0,1,5,3,1,Student,Complaint,Academic progression,P2,Resolved,18.5,5.27,3.39,34.5,1,1,0,0,0,1,1.63,1.3,80.6,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000051,2025-03-23 09:24:00,20250323,2025-03-29 12:49:32,2,5.0,1,4,4,4,Student,Enquiry,Device and software,P3,Withdrawn,1.08,0.48,20.63,,0,0,0,0,1,0,0.91,1.14,70.68,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000052,2026-06-29 08:11:00,20260629,2026-07-01 01:45:13,1,4.0,1,3,4,4,Student,Complaint,Academic progression,P4,Resolved,3.37,1.24,6.39,25.82,0,0,1,0,1,0,0.61,1.09,67.58,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000053,2026-04-20 11:01:00,20260420,2026-04-21 04:31:42,1,2.0,1,3,3,1,Student,Complaint,Timetable and class allocation,P3,Merged Duplicate,4.67,2.9,2.8,,0,0,1,0,0,0,1.14,1.47,91.14,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000054,2026-05-25 09:59:00,20260525,2026-05-27 17:09:12,2,5.0,1,1,3,3,Student,Complaint,Device and software,P2,Resolved,26.39,17.58,5.15,31.54,1,1,1,0,0,0,1.46,2.14,132.68,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000055,2025-01-09 13:08:00,20250109,2025-01-12 23:00:31,2,5.0,2,7,5,1,Professional Staff,Enquiry,Device and software,P3,Resolved,10.78,5.31,9.39,48.24,0,1,1,0,0,0,1.18,1.8,111.6,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000056,2026-08-15 17:50:00,20260815,,1,1.0,1,4,2,5,Student,Enquiry,Enrolment changes,P3,In Progress,5.13,2.09,13.74,,0,0,1,0,0,0,1.14,1.0,62.0,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000057,2026-07-07 16:18:00,20260707,2026-07-10 16:55:11,1,1.0,1,1,3,2,Student,Service Request,Enrolment changes,P3,Resolved,6.59,3.18,7.11,42.6,0,1,2,0,0,0,1.1,2.12,131.44,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000058,2026-04-16 12:22:00,20260416,2026-04-18 00:24:35,2,5.0,1,4,1,3,Student,Enquiry,Account access and login,P2,Resolved,6.11,3.0,3.81,22.68,0,1,0,0,0,1,1.53,1.37,84.94,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000059,2026-02-01 20:21:00,20260201,2026-02-03 17:03:15,2,5.0,1,7,5,1,Professional Staff,Complaint,Device and software,P2,Resolved,5.48,3.28,2.95,22.65,0,1,0,0,0,1,1.74,1.15,71.3,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000060,2025-07-09 19:13:00,20250709,2025-07-23 14:49:36,3,8.0,1,1,2,1,Student,Service Request,Teaching room equipment,P3,Resolved,12.18,4.68,33.26,207.68,0,1,1,0,0,0,1.02,0.85,70.7,Service issue reported for teaching room equipment at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000061,2026-02-05 15:14:00,20260205,2026-02-08 05:46:32,2,5.0,2,7,5,1,Professional Staff,Idea,Device and software,P4,Resolved,4.72,3.32,9.29,36.43,0,0,1,0,1,0,0.83,1.34,83.08,Unable to complete a university task because of device and software.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000062,2026-06-17 14:21:00,20260617,2026-06-21 07:09:50,2,5.0,2,1,2,5,Student,Service Request,Account access and login,P4,Resolved,9.68,3.72,9.6,55.54,0,0,0,0,0,1,0.81,0.48,29.76,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000063,2025-09-14 14:20:00,20250914,2025-09-16 11:21:15,2,7.0,2,7,5,4,Professional Staff,Enquiry,Wi-Fi and network,P4,Cancelled,11.07,4.25,3.25,,0,0,0,0,0,0,0.78,0.62,38.44,Unable to complete a university task because of wi-fi and network.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000064,2024-12-19 14:03:00,20241219,2024-12-20 18:57:49,3,9.0,1,7,5,3,Professional Staff,Service Request,Cleanliness,P3,Resolved,5.29,3.75,4.32,18.33,0,0,1,0,1,0,1.07,1.16,89.92,Service issue reported for cleanliness at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000065,2026-05-08 10:29:00,20260508,2026-05-09 15:32:41,2,5.0,1,7,5,2,Professional Staff,Service Request,Account access and login,P4,Resolved,1.76,1.29,1.93,15.38,0,0,0,0,1,0,0.79,0.87,53.94,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000066,2025-02-10 08:23:00,20250210,2025-02-11 14:42:56,2,5.0,1,4,2,2,Student,Enquiry,Multi-factor authentication,P3,Resolved,3.07,1.58,1.66,13.3,0,0,0,1,1,0,0.92,1.66,102.92,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000067,2025-02-17 11:26:00,20250217,2025-02-22 17:28:27,2,5.0,1,4,3,1,Student,Service Request,Multi-factor authentication,P3,Resolved,3.34,1.66,12.98,80.72,0,1,1,0,0,0,0.93,0.82,50.84,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000068,2026-07-17 14:55:00,20260717,2026-07-20 11:48:57,2,5.0,1,2,2,4,Student,Service Request,Multi-factor authentication,P4,Resolved,10.64,5.72,9.06,41.36,0,0,0,0,0,1,0.79,0.68,42.16,Unable to complete a university task because of multi-factor authentication.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000069,2025-01-20 19:41:00,20250120,2025-01-21 16:53:13,1,1.0,1,1,3,2,Student,Complaint,Enrolment changes,P3,Resolved,5.44,3.8,4.55,13.37,0,0,0,0,0,1,0.94,0.69,42.78,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000070,2024-09-03 17:20:00,20240903,2024-09-07 08:50:38,1,2.0,1,1,3,1,Student,Enquiry,Timetable and class allocation,P3,Resolved,6.17,3.58,18.81,50.52,0,1,2,0,0,0,1.08,1.78,110.36,Request for help with timetable and class allocation and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000071,2025-02-11 16:11:00,20250211,2025-02-19 15:58:32,1,1.0,2,1,3,4,Student,Complaint,Enrolment changes,P3,Resolved,11.21,5.05,24.31,123.41,0,1,1,0,0,0,0.96,0.95,58.9,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000072,2026-02-27 12:08:00,20260227,2026-03-03 14:49:37,1,4.0,1,4,4,3,Student,Enquiry,Academic progression,P3,Resolved,4.47,1.51,4.73,59.33,0,1,0,0,0,1,1.07,1.07,66.34,Request for help with academic progression and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000073,2026-01-15 20:25:00,20260115,2026-01-17 17:03:26,2,5.0,2,1,3,3,Student,Service Request,Account access and login,P3,Resolved,6.61,4.06,4.1,26.68,0,0,1,0,1,0,1.18,1.66,102.92,Unable to complete a university task because of account access and login.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000074,2024-12-30 09:27:00,20241230,2025-01-01 02:06:29,1,1.0,1,1,3,1,Student,Service Request,Enrolment changes,P4,Resolved,3.14,1.98,5.51,21.24,0,0,0,0,0,1,0.81,0.9,55.8,Request for help with enrolment changes and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000075,2025-01-31 12:27:00,20250131,2025-02-04 15:03:09,1,4.0,1,1,4,4,Student,Service Request,Documents and letters,P2,Resolved,3.55,1.43,13.69,62.1,0,1,0,0,0,1,1.44,1.24,76.88,Request for help with documents and letters and clarification of the next step.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
CASE-000076,2025-04-07 19:25:00,20250407,2025-04-09 07:20:47,3,9.0,1,4,3,5,Student,Service Request,HVAC and temperature,P3,Resolved,13.36,3.23,1.97,22.93,0,0,0,0,0,1,1.12,0.71,62.02,Service issue reported for hvac and temperature at the selected campus.,Synthetic demonstration data — not actual University of Sydney results,,,,,Not run,2026-08-15 12:00:00
