event_id,case_id,event_datetime,from_status,to_status,team_key,event_type,business_hours_since_previous,synthetic_label
EVT-0000021,CASE-000006,2026-08-06 18:59:36,Submitted,Assigned,1,Status Change,4.49,Synthetic demonstration data — not actual University of Sydney results
EVT-0000022,CASE-000007,2025-01-16 12:03:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000023,CASE-000007,2025-01-16 14:01:04,Submitted,Triaged,10,Status Change,1.27,Synthetic demonstration data — not actual University of Sydney results
EVT-0000024,CASE-000007,2025-01-16 16:51:00,Triaged,Assigned,10,Status Change,3.1,Synthetic demonstration data — not actual University of Sydney results
EVT-0000025,CASE-000007,2025-01-17 01:26:54,Assigned,Resolved,10,Status Change,8.64,Synthetic demonstration data — not actual University of Sydney results
EVT-0000026,CASE-000008,2025-05-29 16:05:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000027,CASE-000008,2025-05-29 20:37:47,Submitted,Triaged,3,Status Change,2.93,Synthetic demonstration data — not actual University of Sydney results
EVT-0000028,CASE-000008,2025-05-30 02:05:00,Triaged,Assigned,3,Status Change,6.45,Synthetic demonstration data — not actual University of Sydney results
EVT-0000029,CASE-000008,2025-05-30 17:20:31,Assigned,Resolved,3,Status Change,16.3,Synthetic demonstration data — not actual University of Sydney results
EVT-0000030,CASE-000009,2025-01-16 17:54:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000031,CASE-000009,2025-01-16 22:59:46,Submitted,Triaged,1,Status Change,3.29,Synthetic demonstration data — not actual University of Sydney results
EVT-0000032,CASE-000009,2025-01-17 10:19:15,Triaged,Assigned,1,Status Change,10.59,Synthetic demonstration data — not actual University of Sydney results
EVT-0000033,CASE-000009,2025-01-17 22:12:43,Assigned,Resolved,1,Status Change,18.27,Synthetic demonstration data — not actual University of Sydney results
EVT-0000034,CASE-000010,2026-04-13 19:58:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000035,CASE-000010,2026-04-14 06:26:48,Submitted,Triaged,4,Status Change,6.76,Synthetic demonstration data — not actual University of Sydney results
EVT-0000037,CASE-000010,2026-04-22 00:16:49,Assigned,Resolved,4,Status Change,126.65,Synthetic demonstration data — not actual University of Sydney results
EVT-0000038,CASE-000011,2026-02-17 11:20:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000039,CASE-000011,2026-02-17 18:48:11,Submitted,Triaged,7,Status Change,4.82,Synthetic demonstration data — not actual University of Sydney results
EVT-0000040,CASE-000011,2026-02-18 01:07:31,Triaged,Assigned,7,Status Change,8.9,Synthetic demonstration data — not actual University of Sydney results
EVT-0000041,CASE-000011,2026-02-19 04:49:54,Assigned,Resolved,7,Status Change,26.77,Synthetic demonstration data — not actual University of Sydney results
EVT-0000042,CASE-000012,2025-05-22 12:22:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000043,CASE-000012,2025-05-22 16:29:25,Submitted,Triaged,4,Status Change,2.66,Synthetic demonstration data — not actual University of Sydney results
EVT-0000044,CASE-000012,2025-05-22 23:41:40,Triaged,Assigned,4,Status Change,7.31,Synthetic demonstration data — not actual University of Sydney results
EVT-0000045,CASE-000012,2025-05-23 11:16:33,Assigned,Resolved,4,Status Change,14.78,Synthetic demonstration data — not actual University of Sydney results
EVT-0000046,CASE-000013,2025-09-12 08:27:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000047,CASE-000013,2025-09-12 11:52:26,Submitted,Triaged,10,Status Change,2.21,Synthetic demonstration data — not actual University of Sydney results
EVT-0000048,CASE-000013,2025-09-13 05:12:07,Triaged,Assigned,10,Status Change,13.39,Synthetic demonstration data — not actual University of Sydney results
EVT-0000049,CASE-000013,2025-09-16 06:39:32,Assigned,Resolved,10,Status Change,60.78,Synthetic demonstration data — not actual University of Sydney results
EVT-0000050,CASE-000014,2025-09-04 17:26:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000052,CASE-000014,2025-09-05 10:12:04,Triaged,Assigned,1,Status Change,10.82,Synthetic demonstration data — not actual University of Sydney results
EVT-0000053,CASE-000014,2025-09-06 15:58:31,Assigned,Resolved,1,Status Change,30.03,Synthetic demonstration data — not actual University of Sydney results
EVT-0000054,CASE-000015,2024-11-08 16:54:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000055,CASE-000015,2024-11-08 22:35:45,Submitted,Triaged,6,Status Change,3.67,Synthetic demonstration data — not actual University of Sydney results
EVT-0000056,CASE-000015,2024-11-10 09:11:49,Triaged,Resolved,6,Status Change,26.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000057,CASE-000016,2024-09-25 09:46:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000060,CASE-000016,2024-09-27 15:31:41,Assigned,Resolved,9,Status Change,34.68,Synthetic demonstration data — not actual University of Sydney results
EVT-0000061,CASE-000017,2026-02-23 09:11:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000062,CASE-000017,2026-02-23 11:53:14,Submitted,Triaged,5,Status Change,1.74,Synthetic demonstration data — not actual University of Sydney results
EVT-0000063,CASE-000017,2026-02-23 18:43:09,Triaged,Assigned,5,Status Change,6.15,Synthetic demonstration data — not actual University of Sydney results
EVT-0000064,CASE-000017,2026-02-25 19:05:51,Assigned,Resolved,5,Status Change,37.36,Synthetic demonstration data — not actual University of Sydney results
EVT-0000065,CASE-000018,2026-01-27 18:25:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000067,CASE-000018,2026-01-28 23:35:55,Triaged,Assigned,5,Status Change,18.83,Synthetic demonstration data — not actual University of Sydney results
EVT-0000068,CASE-000018,2026-01-29 20:43:49,Assigned,Resolved,5,Status Change,32.46,Synthetic demonstration data — not actual University of Sydney results
EVT-0000069,CASE-000019,2026-07-27 11:55:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000070,CASE-000019,2026-07-27 19:21:24,Submitted,Triaged,1,Status Change,4.8,Synthetic demonstration data — not actual University of Sydney results
EVT-0000072,CASE-000019,2026-08-01 18:32:13,Assigned,Resolved,1,Status Change,81.69,Synthetic demonstration data — not actual University of Sydney results
EVT-0000073,CASE-000020,2025-09-17 12:34:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000074,CASE-000020,2025-09-17 14:37:50,Submitted,Triaged,5,Status Change,1.33,Synthetic demonstration data — not actual University of Sydney results
EVT-0000075,CASE-000020,2025-09-17 17:53:40,Triaged,Assigned,5,Status Change,3.44,Synthetic demonstration data — not actual University of Sydney results
EVT-0000076,CASE-000020,2025-09-18 02:49:15,Assigned,Resolved,5,Status Change,9.2,Synthetic demonstration data — not actual University of Sydney results
EVT-0000077,CASE-000021,2026-03-23 15:28:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000078,CASE-000021,2026-03-23 18:40:57,Submitted,Triaged,2,Status Change,2.07,Synthetic demonstration data — not actual University of Sydney results
EVT-0000079,CASE-000021,2026-03-24 06:14:04,Triaged,Assigned,2,Status Change,9.53,Synthetic demonstration data — not actual University of Sydney results
EVT-0000080,CASE-000021,2026-03-26 18:58:30,Assigned,Resolved,2,Status Change,48.72,Synthetic demonstration data — not actual University of Sydney results
EVT-0000081,CASE-000022,2025-11-24 14:38:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000082,CASE-000022,2025-11-24 22:28:24,Submitted,Triaged,1,Status Change,5.06,Synthetic demonstration data — not actual University of Sydney results
EVT-0000083,CASE-000022,2025-11-27 23:59:56,Triaged,Resolved,1,Status Change,52.49,Synthetic demonstration data — not actual University of Sydney results
EVT-0000084,CASE-000023,2025-04-24 14:27:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000085,CASE-000023,2025-04-24 18:52:12,Submitted,Triaged,2,Status Change,2.85,Synthetic demonstration data — not actual University of Sydney results
EVT-0000086,CASE-000023,2025-04-25 04:41:35,Triaged,Assigned,2,Status Change,9.19,Synthetic demonstration data — not actual University of Sydney results
EVT-0000087,CASE-000023,2025-04-25 08:07:51,Assigned,In Progress,2,Status Change,11.41,Synthetic demonstration data — not actual University of Sydney results
EVT-0000088,CASE-000023,2025-04-25 15:00:25,In Progress,Resolved,2,Status Change,15.84,Synthetic demonstration data — not actual University of Sydney results
EVT-0000089,CASE-000024,2024-12-01 12:48:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000090,CASE-000024,2024-12-01 14:08:38,Submitted,Triaged,9,Status Change,0.87,Synthetic demonstration data — not actual University of Sydney results
EVT-0000091,CASE-000024,2024-12-02 02:42:14,Triaged,Assigned,9,Status Change,8.97,Synthetic demonstration data — not actual University of Sydney results
EVT-0000092,CASE-000024,2024-12-04 07:58:29,Assigned,Resolved,9,Status Change,43.34,Synthetic demonstration data — not actual University of Sydney results
EVT-0000093,CASE-000025,2026-03-15 12:41:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000094,CASE-000025,2026-03-15 15:55:52,Submitted,Triaged,5,Status Change,2.1,Synthetic demonstration data — not actual University of Sydney results
EVT-0000095,CASE-000025,2026-03-15 18:37:09,Triaged,Assigned,5,Status Change,3.83,Synthetic demonstration data — not actual University of Sydney results
EVT-0000096,CASE-000025,2026-03-16 14:26:36,Assigned,Resolved,5,Status Change,16.62,Synthetic demonstration data — not actual University of Sydney results
EVT-0000097,CASE-000026,2025-09-05 13:15:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000098,CASE-000026,2025-09-05 16:14:31,Submitted,Triaged,9,Status Change,1.93,Synthetic demonstration data — not actual University of Sydney results
EVT-0000099,CASE-000026,2025-09-07 19:26:05,Triaged,Resolved,9,Status Change,34.96,Synthetic demonstration data — not actual University of Sydney results
EVT-0000100,CASE-000027,2025-01-21 15:33:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000101,CASE-000027,2025-01-21 18:56:31,Submitted,Triaged,6,Status Change,2.19,Synthetic demonstration data — not actual University of Sydney results
EVT-0000102,CASE-000027,2025-01-22 11:13:46,Triaged,Withdrawn,6,Status Change,12.7,Synthetic demonstration data — not actual University of Sydney results
EVT-0000103,CASE-000028,2024-10-26 18:06:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000104,CASE-000028,2024-10-26 23:39:07,Submitted,Triaged,5,Status Change,3.58,Synthetic demonstration data — not actual University of Sydney results
EVT-0000105,CASE-000028,2024-10-28 05:57:21,Triaged,Assigned,5,Status Change,23.13,Synthetic demonstration data — not actual University of Sydney results
EVT-0000106,CASE-000028,2024-10-30 05:02:43,Assigned,In Progress,5,Status Change,53.51,Synthetic demonstration data — not actual University of Sydney results
EVT-0000107,CASE-000028,2024-10-31 13:18:06,In Progress,Resolved,5,Status Change,74.32,Synthetic demonstration data — not actual University of Sydney results
EVT-0000108,CASE-000029,2025-10-31 16:54:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000109,CASE-000029,2025-11-01 01:06:42,Submitted,Triaged,5,Status Change,5.3,Synthetic demonstration data — not actual University of Sydney results
EVT-0000110,CASE-000029,2025-11-01 18:16:33,Triaged,Assigned,5,Status Change,16.37,Synthetic demonstration data — not actual University of Sydney results
EVT-0000111,CASE-000029,2025-11-02 14:31:18,Assigned,Resolved,5,Status Change,29.43,Synthetic demonstration data — not actual University of Sydney results
EVT-0000112,CASE-000030,2025-03-26 13:40:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000113,CASE-000030,2025-03-26 15:21:45,Submitted,Triaged,3,Status Change,1.09,Synthetic demonstration data — not actual University of Sydney results
EVT-0000114,CASE-000030,2025-03-27 02:39:31,Triaged,Assigned,3,Status Change,8.38,Synthetic demonstration data — not actual University of Sydney results
EVT-0000115,CASE-000030,2025-03-30 00:49:19,Assigned,In Progress,3,Status Change,53.65,Synthetic demonstration data — not actual University of Sydney results
EVT-0000116,CASE-000030,2025-03-31 09:09:36,In Progress,Resolved,3,Status Change,74.51,Synthetic demonstration data — not actual University of Sydney results
EVT-0000117,CASE-000031,2025-03-07 08:11:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000118,CASE-000031,2025-03-07 13:17:14,Submitted,Triaged,1,Status Change,3.29,Synthetic demonstration data — not actual University of Sydney results
EVT-0000120,CASE-000031,2025-03-11 23:31:12,Assigned,Resolved,1,Status Change,71.83,Synthetic demonstration data — not actual University of Sydney results
EVT-0000121,CASE-000032,2025-01-17 10:36:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000122,CASE-000032,2025-01-17 18:58:04,Submitted,Triaged,5,Status Change,5.4,Synthetic demonstration data — not actual University of Sydney results
EVT-0000123,CASE-000032,2025-01-18 02:44:38,Triaged,Assigned,5,Status Change,10.42,Synthetic demonstration data — not actual University of Sydney results
EVT-0000124,CASE-000032,2025-01-20 11:04:02,Assigned,Resolved,5,Status Change,46.75,Synthetic demonstration data — not actual University of Sydney results
EVT-0000125,CASE-000033,2025-06-12 19:38:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000126,CASE-000033,2025-06-12 22:19:16,Submitted,Triaged,5,Status Change,1.73,Synthetic demonstration data — not actual University of Sydney results
EVT-0000127,CASE-000033,2025-06-13 04:08:43,Triaged,Assigned,5,Status Change,5.49,Synthetic demonstration data — not actual University of Sydney results
EVT-0000128,CASE-000033,2025-06-14 11:49:15,Assigned,Resolved,5,Status Change,25.93,Synthetic demonstration data — not actual University of Sydney results
EVT-0000129,CASE-000034,2024-09-13 11:21:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000130,CASE-000034,2024-09-13 20:27:14,Submitted,Assigned,4,Status Change,5.87,Synthetic demonstration data — not actual University of Sydney results
EVT-0000131,CASE-000034,2024-09-14 09:56:22,Assigned,Resolved,4,Status Change,14.57,Synthetic demonstration data — not actual University of Sydney results
EVT-0000132,CASE-000035,2025-11-03 12:49:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000133,CASE-000035,2025-11-03 23:39:52,Submitted,Triaged,9,Status Change,7.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000134,CASE-000035,2025-11-04 18:23:04,Triaged,Assigned,9,Status Change,19.08,Synthetic demonstration data — not actual University of Sydney results
EVT-0000135,CASE-000035,2025-11-09 02:23:55,Assigned,Resolved,9,Status Change,86.18,Synthetic demonstration data — not actual University of Sydney results
EVT-0000136,CASE-000036,2026-03-08 13:38:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000137,CASE-000036,2026-03-08 18:39:26,Submitted,Triaged,5,Status Change,3.24,Synthetic demonstration data — not actual University of Sydney results
EVT-0000138,CASE-000036,2026-03-09 18:19:16,Triaged,Assigned,5,Status Change,18.51,Synthetic demonstration data — not actual University of Sydney results
EVT-0000139,CASE-000036,2026-03-17 01:09:15,Assigned,Resolved,5,Status Change,131.3,Synthetic demonstration data — not actual University of Sydney results
EVT-0000140,CASE-000037,2025-05-30 16:26:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000141,CASE-000037,2025-06-01 08:03:55,Submitted,Assigned,4,Status Change,25.57,Synthetic demonstration data — not actual University of Sydney results
EVT-0000142,CASE-000037,2025-06-06 12:11:38,Assigned,Resolved,4,Status Change,105.65,Synthetic demonstration data — not actual University of Sydney results
EVT-0000143,CASE-000038,2024-09-28 15:18:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000144,CASE-000038,2024-09-28 19:19:55,Submitted,Triaged,5,Status Change,2.6,Synthetic demonstration data — not actual University of Sydney results
EVT-0000145,CASE-000038,2024-09-29 00:16:33,Triaged,Assigned,5,Status Change,5.79,Synthetic demonstration data — not actual University of Sydney results
EVT-0000147,CASE-000038,2024-09-29 23:36:07,In Progress,Resolved,5,Status Change,20.84,Synthetic demonstration data — not actual University of Sydney results
EVT-0000148,CASE-000039,2025-05-22 08:55:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000149,CASE-000039,2025-05-22 16:11:48,Submitted,Triaged,9,Status Change,4.7,Synthetic demonstration data — not actual University of Sydney results
EVT-0000150,CASE-000039,2025-05-22 20:32:55,Triaged,Assigned,9,Status Change,7.5,Synthetic demonstration data — not actual University of Sydney results
EVT-0000151,CASE-000039,2025-05-24 10:22:39,Assigned,Resolved,9,Status Change,31.91,Synthetic demonstration data — not actual University of Sydney results
EVT-0000152,CASE-000040,2025-10-13 15:53:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000153,CASE-000040,2025-10-13 21:30:55,Submitted,Triaged,7,Status Change,3.63,Synthetic demonstration data — not actual University of Sydney results
EVT-0000154,CASE-000040,2025-10-14 08:49:38,Triaged,Assigned,7,Status Change,10.93,Synthetic demonstration data — not actual University of Sydney results
EVT-0000155,CASE-000040,2025-10-16 07:40:17,Assigned,Resolved,7,Status Change,41.15,Synthetic demonstration data — not actual University of Sydney results
EVT-0000156,CASE-000041,2026-08-14 16:07:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000157,CASE-000041,2026-08-14 18:16:36,Submitted,Triaged,9,Status Change,1.39,Synthetic demonstration data — not actual University of Sydney results
EVT-0000158,CASE-000041,2026-08-14 23:04:36,Triaged,Assigned,9,Status Change,4.49,Synthetic demonstration data — not actual University of Sydney results
EVT-0000159,CASE-000042,2025-11-30 13:32:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000160,CASE-000042,2025-11-30 19:52:09,Submitted,Triaged,4,Status Change,4.09,Synthetic demonstration data — not actual University of Sydney results
EVT-0000161,CASE-000042,2025-12-02 12:30:42,Triaged,Resolved,4,Status Change,30.31,Synthetic demonstration data — not actual University of Sydney results
EVT-0000162,CASE-000043,2026-05-18 11:39:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000163,CASE-000043,2026-05-18 20:52:03,Submitted,Triaged,4,Status Change,5.95,Synthetic demonstration data — not actual University of Sydney results
EVT-0000164,CASE-000043,2026-05-19 11:31:19,Triaged,Assigned,4,Status Change,15.4,Synthetic demonstration data — not actual University of Sydney results
EVT-0000165,CASE-000043,2026-05-20 14:51:35,Assigned,Resolved,4,Status Change,33.04,Synthetic demonstration data — not actual University of Sydney results
EVT-0000166,CASE-000044,2024-10-01 13:07:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000167,CASE-000044,2024-10-02 05:20:26,Submitted,Triaged,4,Status Change,10.47,Synthetic demonstration data — not actual University of Sydney results
EVT-0000168,CASE-000044,2024-10-02 22:43:57,Triaged,Assigned,4,Status Change,21.69,Synthetic demonstration data — not actual University of Sydney results
EVT-0000169,CASE-000044,2024-10-06 16:30:57,Assigned,Resolved,4,Status Change,79.61,Synthetic demonstration data — not actual University of Sydney results
EVT-0000170,CASE-000045,2026-03-12 15:04:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000171,CASE-000045,2026-03-12 16:58:14,Submitted,Triaged,4,Status Change,1.23,Synthetic demonstration data — not actual University of Sydney results
EVT-0000172,CASE-000045,2026-03-13 21:16:13,Triaged,In Progress,4,Status Change,19.49,Synthetic demonstration data — not actual University of Sydney results
EVT-0000173,CASE-000045,2026-03-14 09:00:58,In Progress,Resolved,4,Status Change,27.06,Synthetic demonstration data — not actual University of Sydney results
EVT-0000174,CASE-000046,2025-03-14 16:31:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000175,CASE-000046,2025-03-14 20:17:33,Submitted,Triaged,5,Status Change,2.44,Synthetic demonstration data — not actual University of Sydney results
EVT-0000176,CASE-000046,2025-03-15 08:33:52,Triaged,Assigned,5,Status Change,10.35,Synthetic demonstration data — not actual University of Sydney results
EVT-0000177,CASE-000046,2025-03-17 06:38:16,Assigned,Resolved,5,Status Change,40.08,Synthetic demonstration data — not actual University of Sydney results
EVT-0000178,CASE-000047,2024-09-06 17:52:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000179,CASE-000047,2024-09-07 03:41:26,Submitted,Triaged,9,Status Change,6.34,Synthetic demonstration data — not actual University of Sydney results
EVT-0000180,CASE-000047,2024-09-07 19:55:50,Triaged,Assigned,9,Status Change,16.82,Synthetic demonstration data — not actual University of Sydney results
EVT-0000181,CASE-000047,2024-09-10 10:52:30,Assigned,In Progress,9,Status Change,57.42,Synthetic demonstration data — not actual University of Sydney results
EVT-0000182,CASE-000047,2024-09-11 21:29:22,In Progress,Resolved,9,Status Change,79.76,Synthetic demonstration data — not actual University of Sydney results
EVT-0000183,CASE-000048,2025-06-11 12:52:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000184,CASE-000048,2025-06-11 15:36:09,Submitted,Triaged,4,Status Change,1.77,Synthetic demonstration data — not actual University of Sydney results
EVT-0000185,CASE-000048,2025-06-11 18:47:12,Triaged,Assigned,4,Status Change,3.82,Synthetic demonstration data — not actual University of Sydney results
EVT-0000186,CASE-000048,2025-06-12 05:31:14,Assigned,Resolved,4,Status Change,10.74,Synthetic demonstration data — not actual University of Sydney results
EVT-0000187,CASE-000049,2025-05-27 13:47:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000188,CASE-000049,2025-05-27 15:55:38,Submitted,Triaged,3,Status Change,1.38,Synthetic demonstration data — not actual University of Sydney results
EVT-0000190,CASE-000049,2025-05-29 17:53:47,Assigned,In Progress,3,Status Change,33.62,Synthetic demonstration data — not actual University of Sydney results
EVT-0000191,CASE-000049,2025-05-30 14:09:46,In Progress,Resolved,3,Status Change,46.7,Synthetic demonstration data — not actual University of Sydney results
EVT-0000192,CASE-000050,2025-02-01 17:36:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000193,CASE-000050,2025-02-02 02:01:55,Submitted,Triaged,4,Status Change,5.44,Synthetic demonstration data — not actual University of Sydney results
EVT-0000195,CASE-000050,2025-02-04 01:36:34,Assigned,Resolved,4,Status Change,36.14,Synthetic demonstration data — not actual University of Sydney results
EVT-0000196,CASE-000051,2025-03-23 09:24:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000197,CASE-000051,2025-03-23 10:10:04,Submitted,Triaged,5,Status Change,0.5,Synthetic demonstration data — not actual University of Sydney results
EVT-0000198,CASE-000051,2025-03-29 12:49:32,Triaged,Withdrawn,5,Status Change,95.11,Synthetic demonstration data — not actual University of Sydney results
EVT-0000199,CASE-000052,2026-06-29 08:11:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000200,CASE-000052,2026-06-29 10:10:02,Submitted,Triaged,4,Status Change,1.28,Synthetic demonstration data — not actual University of Sydney results
EVT-0000201,CASE-000052,2026-06-29 20:23:28,Triaged,Assigned,4,Status Change,7.88,Synthetic demonstration data — not actual University of Sydney results
EVT-0000202,CASE-000052,2026-07-01 01:45:13,Assigned,Resolved,4,Status Change,26.82,Synthetic demonstration data — not actual University of Sydney results
EVT-0000203,CASE-000053,2026-04-20 11:01:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000204,CASE-000053,2026-04-20 14:10:07,Submitted,Triaged,2,Status Change,2.03,Synthetic demonstration data — not actual University of Sydney results
EVT-0000205,CASE-000053,2026-04-20 20:08:12,Triaged,Assigned,2,Status Change,5.88,Synthetic demonstration data — not actual University of Sydney results
EVT-0000206,CASE-000053,2026-04-21 04:31:42,Assigned,Merged Duplicate,2,Status Change,11.3,Synthetic demonstration data — not actual University of Sydney results
EVT-0000207,CASE-000054,2026-05-25 09:59:00,New,Submitted,0,Status Change,0.0,Synthetic demonstration data — not actual University of Sydney results
EVT-0000209,CASE-000054,2026-05-26 17:58:55,Triaged,Assigned,5,Status Change,20.64,Synthetic demonstration data — not actual University of Sydney results
EVT-0000210,CASE-000054,2026-05-27 01:42:21,Assigned,In Progress,5,Status Change,25.63,Synthetic demonstration data — not actual University of Sydney results
