interaction_id,case_id,interaction_datetime,channel_key,direction,requester_initiated,interaction_sequence,handle_minutes,synthetic_label
INT-0000022,CASE-000015,2024-11-08 16:54:00,1,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000023,CASE-000016,2024-09-25 09:46:00,2,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000024,CASE-000017,2026-02-23 09:11:00,3,Inbound,1,1,31,Synthetic demonstration data — not actual University of Sydney results
INT-0000025,CASE-000018,2026-01-27 18:25:00,3,Inbound,1,1,11,Synthetic demonstration data — not actual University of Sydney results
INT-0000026,CASE-000018,2026-01-28 15:49:00,4,Inbound,1,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000027,CASE-000018,2026-01-29 04:49:55,4,Outbound,0,3,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000028,CASE-000019,2026-07-27 11:55:00,1,Inbound,1,1,8,Synthetic demonstration data — not actual University of Sydney results
INT-0000029,CASE-000019,2026-07-28 21:29:43,4,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000030,CASE-000019,2026-08-01 11:01:23,1,Inbound,1,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000031,CASE-000020,2025-09-17 12:34:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000032,CASE-000021,2026-03-23 15:28:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000033,CASE-000022,2025-11-24 14:38:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000034,CASE-000022,2025-11-25 16:48:40,4,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000035,CASE-000023,2025-04-24 14:27:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000036,CASE-000024,2024-12-01 12:48:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000037,CASE-000024,2024-12-02 17:22:30,1,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000038,CASE-000025,2026-03-15 12:41:00,1,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0000039,CASE-000025,2026-03-15 21:40:57,1,Outbound,0,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000040,CASE-000025,2026-03-16 00:58:01,2,Outbound,0,3,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000041,CASE-000026,2025-09-05 13:15:00,1,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000042,CASE-000026,2025-09-06 17:56:49,4,Inbound,1,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000043,CASE-000027,2025-01-21 15:33:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000044,CASE-000027,2025-01-22 12:51:21,4,Inbound,1,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000045,CASE-000028,2024-10-26 18:06:00,4,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000046,CASE-000028,2024-10-30 04:39:06,3,Inbound,1,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000047,CASE-000028,2024-10-30 20:44:39,1,Outbound,0,3,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000048,CASE-000029,2025-10-31 16:54:00,4,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000049,CASE-000029,2025-11-01 22:14:30,1,Inbound,1,2,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000050,CASE-000030,2025-03-26 13:40:00,3,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000051,CASE-000030,2025-03-27 12:16:10,4,Inbound,1,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000052,CASE-000030,2025-03-30 09:14:06,1,Outbound,0,3,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000053,CASE-000030,2025-03-30 17:35:27,4,Inbound,1,4,11,Synthetic demonstration data — not actual University of Sydney results
INT-0000054,CASE-000031,2025-03-07 08:11:00,1,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000055,CASE-000031,2025-03-10 19:28:29,2,Inbound,1,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000056,CASE-000032,2025-01-17 10:36:00,2,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000057,CASE-000032,2025-01-19 15:49:43,3,Inbound,1,2,9,Synthetic demonstration data — not actual University of Sydney results
INT-0000058,CASE-000033,2025-06-12 19:38:00,4,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000059,CASE-000034,2024-09-13 11:21:00,2,Inbound,1,1,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000060,CASE-000035,2025-11-03 12:49:00,4,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000061,CASE-000036,2026-03-08 13:38:00,2,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000062,CASE-000037,2025-05-30 16:26:00,2,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000063,CASE-000037,2025-06-02 10:54:26,2,Inbound,1,2,8,Synthetic demonstration data — not actual University of Sydney results
INT-0000064,CASE-000038,2024-09-28 15:18:00,5,Inbound,1,1,31,Synthetic demonstration data — not actual University of Sydney results
INT-0000065,CASE-000039,2025-05-22 08:55:00,2,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000066,CASE-000040,2025-10-13 15:53:00,1,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000067,CASE-000041,2026-08-14 16:07:00,3,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000068,CASE-000041,2026-08-14 23:12:16,3,Inbound,1,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000069,CASE-000042,2025-11-30 13:32:00,1,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000070,CASE-000042,2025-12-01 12:26:52,3,Inbound,1,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000071,CASE-000043,2026-05-18 11:39:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000072,CASE-000044,2024-10-01 13:07:00,1,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000073,CASE-000044,2024-10-03 02:10:31,4,Inbound,1,2,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000074,CASE-000045,2026-03-12 15:04:00,4,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0000075,CASE-000045,2026-03-14 03:13:39,2,Inbound,1,2,10,Synthetic demonstration data — not actual University of Sydney results
INT-0000076,CASE-000046,2025-03-14 16:31:00,2,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000077,CASE-000047,2024-09-06 17:52:00,2,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000078,CASE-000047,2024-09-11 12:56:48,1,Inbound,1,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000079,CASE-000048,2025-06-11 12:52:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000080,CASE-000049,2025-05-27 13:47:00,4,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000081,CASE-000049,2025-05-29 07:33:20,3,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000082,CASE-000050,2025-02-01 17:36:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000083,CASE-000051,2025-03-23 09:24:00,4,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000084,CASE-000051,2025-03-24 12:21:10,1,Inbound,1,2,9,Synthetic demonstration data — not actual University of Sydney results
INT-0000085,CASE-000051,2025-03-25 08:02:04,1,Outbound,0,3,31,Synthetic demonstration data — not actual University of Sydney results
INT-0000086,CASE-000052,2026-06-29 08:11:00,4,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000087,CASE-000052,2026-06-30 08:26:32,2,Outbound,0,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000088,CASE-000052,2026-07-01 00:57:11,1,Inbound,1,3,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000089,CASE-000052,2026-07-01 01:16:11,1,Outbound,0,4,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000090,CASE-000053,2026-04-20 11:01:00,1,Inbound,1,1,36,Synthetic demonstration data — not actual University of Sydney results
INT-0000091,CASE-000053,2026-04-20 17:56:51,4,Outbound,0,2,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000092,CASE-000054,2026-05-25 09:59:00,3,Inbound,1,1,34,Synthetic demonstration data — not actual University of Sydney results
INT-0000093,CASE-000054,2026-05-26 06:37:57,2,Outbound,0,2,8,Synthetic demonstration data — not actual University of Sydney results
INT-0000094,CASE-000055,2025-01-09 13:08:00,1,Inbound,1,1,26,Synthetic demonstration data — not actual University of Sydney results
INT-0000095,CASE-000056,2026-08-15 17:50:00,5,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000096,CASE-000057,2026-07-07 16:18:00,2,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000097,CASE-000058,2026-04-16 12:22:00,3,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000098,CASE-000058,2026-04-16 21:49:34,2,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000099,CASE-000059,2026-02-01 20:21:00,1,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000100,CASE-000060,2025-07-09 19:13:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000101,CASE-000060,2025-07-19 07:15:28,3,Outbound,0,2,10,Synthetic demonstration data — not actual University of Sydney results
INT-0000102,CASE-000061,2026-02-05 15:14:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000103,CASE-000061,2026-02-07 14:21:55,3,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000104,CASE-000062,2026-06-17 14:21:00,5,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000105,CASE-000063,2025-09-14 14:20:00,4,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000106,CASE-000064,2024-12-19 14:03:00,3,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0000107,CASE-000064,2024-12-20 13:22:38,1,Inbound,1,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000108,CASE-000065,2026-05-08 10:29:00,2,Inbound,1,1,8,Synthetic demonstration data — not actual University of Sydney results
INT-0000109,CASE-000065,2026-05-08 17:26:42,2,Outbound,0,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000110,CASE-000065,2026-05-09 01:20:57,2,Inbound,1,3,11,Synthetic demonstration data — not actual University of Sydney results
INT-0000111,CASE-000066,2025-02-10 08:23:00,2,Inbound,1,1,9,Synthetic demonstration data — not actual University of Sydney results
INT-0000112,CASE-000066,2025-02-10 20:54:07,1,Inbound,1,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000113,CASE-000066,2025-02-10 23:45:26,1,Inbound,1,3,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000114,CASE-000066,2025-02-11 06:47:33,4,Outbound,0,4,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000115,CASE-000067,2025-02-17 11:26:00,1,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000116,CASE-000067,2025-02-21 04:25:37,3,Outbound,0,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000117,CASE-000068,2026-07-17 14:55:00,4,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000118,CASE-000068,2026-07-19 19:59:28,1,Outbound,0,2,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000119,CASE-000068,2026-07-20 11:06:22,3,Outbound,0,3,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000120,CASE-000069,2025-01-20 19:41:00,2,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000121,CASE-000069,2025-01-21 16:18:34,2,Outbound,0,2,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000122,CASE-000070,2024-09-03 17:20:00,1,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000123,CASE-000071,2025-02-11 16:11:00,4,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000124,CASE-000072,2026-02-27 12:08:00,3,Inbound,1,1,24,Synthetic demonstration data — not actual University of Sydney results
INT-0000125,CASE-000073,2026-01-15 20:25:00,3,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000126,CASE-000073,2026-01-17 02:00:38,3,Inbound,1,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000127,CASE-000074,2024-12-30 09:27:00,1,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000128,CASE-000075,2025-01-31 12:27:00,4,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000129,CASE-000076,2025-04-07 19:25:00,5,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000130,CASE-000076,2025-04-09 05:10:15,3,Outbound,0,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000131,CASE-000077,2026-02-26 18:16:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000132,CASE-000077,2026-02-28 05:28:27,1,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000133,CASE-000078,2025-03-09 15:53:00,3,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000134,CASE-000078,2025-03-10 22:05:25,1,Outbound,0,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000135,CASE-000079,2026-04-14 10:53:00,1,Inbound,1,1,7,Synthetic demonstration data — not actual University of Sydney results
INT-0000136,CASE-000079,2026-04-16 12:14:21,1,Outbound,0,2,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000137,CASE-000080,2024-11-18 14:17:00,4,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000138,CASE-000080,2024-11-19 01:17:40,1,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000139,CASE-000080,2024-11-19 15:14:09,4,Outbound,0,3,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000140,CASE-000081,2025-07-03 18:26:00,4,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000141,CASE-000081,2025-07-04 13:56:01,2,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000142,CASE-000082,2026-04-18 18:42:00,2,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000143,CASE-000082,2026-04-21 00:51:49,2,Outbound,0,2,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000144,CASE-000083,2025-09-23 12:09:00,5,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000145,CASE-000084,2026-03-20 13:09:00,2,Inbound,1,1,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000146,CASE-000084,2026-03-22 23:54:50,1,Outbound,0,2,11,Synthetic demonstration data — not actual University of Sydney results
INT-0000147,CASE-000084,2026-03-23 06:09:24,4,Outbound,0,3,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000148,CASE-000085,2025-02-14 13:23:00,1,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000149,CASE-000086,2024-11-26 12:04:00,4,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000150,CASE-000087,2026-07-07 15:49:00,4,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000151,CASE-000088,2025-10-20 15:27:00,1,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000152,CASE-000088,2025-10-21 02:18:22,1,Outbound,0,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000153,CASE-000088,2025-10-22 07:23:31,1,Outbound,0,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000154,CASE-000089,2025-02-06 15:32:00,4,Inbound,1,1,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000155,CASE-000090,2026-08-04 09:18:00,1,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000156,CASE-000091,2025-07-13 10:28:00,1,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000157,CASE-000092,2026-07-16 11:42:00,5,Inbound,1,1,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000158,CASE-000092,2026-07-16 19:51:29,2,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000159,CASE-000093,2026-01-08 14:20:00,2,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000160,CASE-000093,2026-01-09 20:02:15,3,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000161,CASE-000094,2026-03-06 13:43:00,5,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000162,CASE-000094,2026-03-07 03:55:33,1,Outbound,0,2,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000163,CASE-000095,2026-06-03 10:31:00,2,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000164,CASE-000096,2025-05-17 20:16:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000165,CASE-000097,2026-02-19 08:36:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000166,CASE-000098,2026-07-05 18:20:00,3,Inbound,1,1,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000167,CASE-000098,2026-07-06 04:06:32,2,Outbound,0,2,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000168,CASE-000098,2026-07-07 04:36:48,2,Outbound,0,3,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000169,CASE-000099,2025-03-13 11:42:00,1,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000170,CASE-000099,2025-03-13 19:52:43,3,Outbound,0,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000171,CASE-000100,2026-01-21 11:16:00,2,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000172,CASE-000100,2026-01-21 17:06:15,2,Outbound,0,2,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000173,CASE-000101,2024-12-03 10:47:00,2,Inbound,1,1,14,Synthetic demonstration data — not actual University of Sydney results
INT-0000174,CASE-000101,2024-12-05 08:39:26,4,Inbound,1,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000175,CASE-000102,2024-10-23 12:22:00,4,Inbound,1,1,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000176,CASE-000103,2024-12-17 18:44:00,3,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000177,CASE-000104,2025-02-24 09:58:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000178,CASE-000104,2025-02-26 08:41:46,2,Inbound,1,2,15,Synthetic demonstration data — not actual University of Sydney results
INT-0000179,CASE-000105,2025-01-27 14:07:00,2,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0000180,CASE-000105,2025-01-28 05:12:03,4,Outbound,0,2,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000181,CASE-000105,2025-01-28 05:40:12,1,Inbound,1,3,26,Synthetic demonstration data — not actual University of Sydney results
INT-0000182,CASE-000106,2026-01-05 20:54:00,5,Inbound,1,1,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000183,CASE-000107,2024-11-08 16:32:00,4,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000184,CASE-000107,2024-11-12 02:36:41,2,Outbound,0,2,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000185,CASE-000108,2026-03-04 08:14:00,3,Inbound,1,1,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000186,CASE-000108,2026-03-05 14:54:15,3,Inbound,1,2,30,Synthetic demonstration data — not actual University of Sydney results
INT-0000187,CASE-000108,2026-03-06 15:09:38,4,Outbound,0,3,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000188,CASE-000109,2025-01-24 09:37:00,3,Inbound,1,1,8,Synthetic demonstration data — not actual University of Sydney results
INT-0000189,CASE-000110,2024-11-14 12:15:00,5,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000190,CASE-000110,2024-11-15 12:16:27,3,Outbound,0,2,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000191,CASE-000111,2026-05-08 10:27:00,1,Inbound,1,1,10,Synthetic demonstration data — not actual University of Sydney results
INT-0000192,CASE-000111,2026-05-10 23:25:46,1,Inbound,1,2,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000193,CASE-000111,2026-05-11 22:24:57,3,Outbound,0,3,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000194,CASE-000112,2026-03-31 17:48:00,1,Inbound,1,1,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000195,CASE-000112,2026-04-01 06:41:21,2,Inbound,1,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000196,CASE-000112,2026-04-01 09:14:55,1,Outbound,0,3,22,Synthetic demonstration data — not actual University of Sydney results
INT-0000197,CASE-000113,2026-04-23 13:48:00,3,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0000198,CASE-000113,2026-04-25 03:47:23,2,Outbound,0,2,27,Synthetic demonstration data — not actual University of Sydney results
INT-0000199,CASE-000114,2025-10-10 11:32:00,3,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0000200,CASE-000114,2025-10-11 18:17:35,4,Inbound,1,2,32,Synthetic demonstration data — not actual University of Sydney results
INT-0000201,CASE-000114,2025-10-11 21:28:09,1,Outbound,0,3,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000202,CASE-000114,2025-10-12 04:57:53,2,Outbound,0,4,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000203,CASE-000115,2026-01-13 09:59:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000204,CASE-000115,2026-01-14 05:52:34,4,Inbound,1,2,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000205,CASE-000115,2026-01-17 04:17:00,1,Inbound,1,3,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000206,CASE-000116,2026-04-13 14:36:00,1,Inbound,1,1,17,Synthetic demonstration data — not actual University of Sydney results
INT-0000207,CASE-000117,2024-12-24 16:33:00,1,Inbound,1,1,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000208,CASE-000117,2024-12-25 09:42:22,3,Outbound,0,2,21,Synthetic demonstration data — not actual University of Sydney results
INT-0000209,CASE-000118,2025-03-18 10:35:00,2,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000210,CASE-000118,2025-03-19 04:32:34,2,Inbound,1,2,28,Synthetic demonstration data — not actual University of Sydney results
INT-0000211,CASE-000119,2026-07-15 12:05:00,3,Inbound,1,1,25,Synthetic demonstration data — not actual University of Sydney results
INT-0000212,CASE-000120,2025-05-24 18:51:00,1,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000213,CASE-000121,2025-08-08 14:34:00,4,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000214,CASE-000121,2025-08-09 18:28:46,2,Inbound,1,2,18,Synthetic demonstration data — not actual University of Sydney results
INT-0000215,CASE-000122,2026-06-03 16:08:00,1,Inbound,1,1,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000216,CASE-000122,2026-06-04 22:58:15,2,Outbound,0,2,16,Synthetic demonstration data — not actual University of Sydney results
INT-0000217,CASE-000122,2026-06-05 05:43:10,1,Outbound,0,3,12,Synthetic demonstration data — not actual University of Sydney results
INT-0000218,CASE-000123,2025-07-04 15:48:00,1,Inbound,1,1,13,Synthetic demonstration data — not actual University of Sydney results
INT-0000219,CASE-000123,2025-07-05 17:15:59,1,Inbound,1,2,19,Synthetic demonstration data — not actual University of Sydney results
INT-0000220,CASE-000124,2025-11-05 19:09:00,2,Inbound,1,1,23,Synthetic demonstration data — not actual University of Sydney results
INT-0000221,CASE-000125,2024-09-13 11:24:00,3,Inbound,1,1,29,Synthetic demonstration data — not actual University of Sydney results
INT-0000222,CASE-000125,2024-09-16 21:03:12,2,Outbound,0,2,20,Synthetic demonstration data — not actual University of Sydney results
INT-0000223,CASE-000126,2024-09-26 12:06:00,1,Inbound,1,1,6,Synthetic demonstration data — not actual University of Sydney results
INT-0000224,CASE-000126,2024-09-27 02:54:20,4,Outbound,0,2,11,Synthetic demonstration data — not actual University of Sydney results
