feedback_id,feedback_date,related_case_id,related_work_order_id,respondent_type,service_key,campus_key,cohort_key,feedback_type,csat_score,ces_score,feedback_theme,comment_text,response_valid,synthetic_label,feedback_date_key,csat_positive_flag
FDB-000028,2026-06-10 00:00:00,CASE-006671,,Student,3,1,1,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260610,0
FDB-000029,2024-12-20 00:00:00,CASE-002303,,Student,1,1,1,Post-case survey,3,2,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20241220,0
FDB-000030,2025-08-30 00:00:00,CASE-006580,,Student,3,1,3,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for cleanliness.,1,Synthetic demonstration data — not actual University of Sydney results,20250830,1
FDB-000031,2025-12-21 00:00:00,CASE-017548,,Student,1,3,4,Post-case survey,4,2,Ease of use,Synthetic feedback concerning ease of use for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20251221,1
FDB-000032,2025-07-30 00:00:00,CASE-016088,,Student,2,2,1,Post-case survey,2,4,Waiting time,Synthetic feedback concerning waiting time for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250730,0
FDB-000033,2025-06-27 00:00:00,CASE-004027,,Student,1,1,3,Post-case survey,5,5,Outcome quality,Synthetic feedback concerning outcome quality for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250627,1
FDB-000034,2025-04-08 00:00:00,CASE-017169,,Student,1,1,3,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250408,1
FDB-000035,2025-11-27 00:00:00,CASE-016568,,Student,2,2,2,Post-case survey,3,3,Ownership,Synthetic feedback concerning ownership for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251127,0
FDB-000036,2026-03-12 00:00:00,CASE-012095,,Student,1,1,5,Post-case survey,4,3,Communication,Synthetic feedback concerning communication for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260312,1
FDB-000037,2026-08-09 00:00:00,CASE-004784,,Professional Staff,2,1,7,Post-case survey,2,4,Outcome quality,Synthetic feedback concerning outcome quality for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20260809,0
FDB-000038,2026-07-13 00:00:00,CASE-003789,,Student,1,1,2,Post-case survey,4,4,Outcome quality,Synthetic feedback concerning outcome quality for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260713,1
FDB-000039,2024-11-17 00:00:00,CASE-000727,,Student,2,1,4,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20241117,1
FDB-000040,2025-04-24 00:00:00,CASE-017340,,Student,2,1,1,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20250424,0
FDB-000041,2026-02-20 00:00:00,CASE-008411,,Student,2,2,4,Post-case survey,4,3,Communication,Synthetic feedback concerning communication for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20260220,1
FDB-000042,2026-04-04 00:00:00,CASE-016763,,Student,1,1,2,Post-case survey,1,1,Ownership,Synthetic feedback concerning ownership for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20260404,0
FDB-000043,2026-02-11 00:00:00,CASE-008561,,Student,2,1,1,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for multi-factor authentication.,1,Synthetic demonstration data — not actual University of Sydney results,20260211,1
FDB-000044,2025-12-20 00:00:00,CASE-008735,,Student,1,1,4,Post-case survey,4,3,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251220,1
FDB-000045,2025-07-04 00:00:00,CASE-002842,,Student,1,3,2,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250704,1
FDB-000046,2026-03-11 00:00:00,CASE-004034,,Student,2,1,1,Post-case survey,4,3,Outcome quality,Synthetic feedback concerning outcome quality for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260311,1
FDB-000047,2026-03-07 00:00:00,CASE-017880,,Student,1,1,1,Post-case survey,2,4,Clarity,Synthetic feedback concerning clarity for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260307,0
FDB-000048,2025-09-27 00:00:00,CASE-004774,,Student,2,1,3,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250927,1
FDB-000049,2025-03-29 00:00:00,CASE-011157,,Student,1,1,2,Post-case survey,4,4,Outcome quality,Synthetic feedback concerning outcome quality for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250329,1
FDB-000050,2026-01-07 00:00:00,CASE-002453,,Student,1,3,2,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20260107,0
FDB-000051,2025-09-17 00:00:00,CASE-015085,,Academic Staff,2,2,6,Post-case survey,2,3,Clarity,Synthetic feedback concerning clarity for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250917,0
FDB-000052,2024-11-08 00:00:00,CASE-013687,,Student,1,2,4,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20241108,1
FDB-000053,2025-10-19 00:00:00,CASE-003417,,Student,1,1,4,Post-case survey,3,2,Outcome quality,Synthetic feedback concerning outcome quality for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251019,0
FDB-000054,2025-12-04 00:00:00,CASE-006548,,Student,3,2,2,Post-case survey,3,4,Waiting time,Synthetic feedback concerning waiting time for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20251204,0
FDB-000055,2025-08-03 00:00:00,CASE-011312,,Student,1,3,1,Post-case survey,3,3,Ownership,Synthetic feedback concerning ownership for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250803,0
FDB-000056,2025-10-07 00:00:00,CASE-000351,,Professional Staff,3,2,7,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20251007,1
FDB-000057,2026-01-05 00:00:00,CASE-004675,,Student,1,1,4,Post-case survey,2,3,Communication,Synthetic feedback concerning communication for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20260105,0
FDB-000058,2024-10-24 00:00:00,CASE-009529,,Student,1,1,1,Post-case survey,2,4,Ownership,Synthetic feedback concerning ownership for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20241024,0
FDB-000059,2025-12-25 00:00:00,CASE-006466,,Student,1,1,1,Post-case survey,3,5,Communication,Synthetic feedback concerning communication for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20251225,0
FDB-000060,2025-10-04 00:00:00,CASE-005747,,Student,3,1,1,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20251004,1
FDB-000061,2024-11-06 00:00:00,CASE-016237,,Student,2,1,2,Post-case survey,5,3,Waiting time,Synthetic feedback concerning waiting time for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20241106,1
FDB-000062,2026-03-18 00:00:00,CASE-005138,,Student,2,3,1,Post-case survey,5,4,Ownership,Synthetic feedback concerning ownership for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260318,1
FDB-000063,2025-04-12 00:00:00,CASE-016621,,Academic Staff,3,1,6,Post-case survey,3,3,Outcome quality,Synthetic feedback concerning outcome quality for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20250412,0
FDB-000064,2026-06-17 00:00:00,CASE-001188,,Student,3,1,5,Post-case survey,4,3,Ease of use,Synthetic feedback concerning ease of use for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20260617,1
FDB-000065,2026-02-19 00:00:00,CASE-017888,,Student,3,1,1,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for teaching room equipment.,1,Synthetic demonstration data — not actual University of Sydney results,20260219,1
FDB-000066,2025-11-01 00:00:00,CASE-011373,,Student,1,2,4,Post-case survey,3,4,Communication,Synthetic feedback concerning communication for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20251101,0
FDB-000067,2025-01-29 00:00:00,CASE-001216,,Student,1,1,5,Post-case survey,4,3,Ease of use,Synthetic feedback concerning ease of use for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250129,1
FDB-000068,2025-08-06 00:00:00,CASE-001512,,Student,2,1,1,Post-case survey,5,4,Outcome quality,Synthetic feedback concerning outcome quality for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250806,1
FDB-000069,2025-07-19 00:00:00,CASE-004867,,Student,1,1,1,Post-case survey,2,5,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250719,0
FDB-000070,2025-01-20 00:00:00,CASE-014839,,Student,1,1,2,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250120,0
FDB-000071,2024-09-27 00:00:00,CASE-002915,,Student,1,1,4,Post-case survey,4,5,Outcome quality,Synthetic feedback concerning outcome quality for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20240927,1
FDB-000072,2026-06-25 00:00:00,CASE-011197,,Student,1,1,3,Post-case survey,4,4,Clarity,Synthetic feedback concerning clarity for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260625,1
FDB-000073,2025-11-19 00:00:00,CASE-015730,,Professional Staff,2,1,7,Post-case survey,5,4,Communication,Synthetic feedback concerning communication for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20251119,1
FDB-000074,2024-11-16 00:00:00,CASE-004674,,Professional Staff,3,1,7,Post-case survey,2,3,Waiting time,Synthetic feedback concerning waiting time for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20241116,0
FDB-000075,2026-05-30 00:00:00,CASE-011821,,Student,1,3,1,Post-case survey,4,3,Outcome quality,Synthetic feedback concerning outcome quality for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20260530,1
FDB-000076,2024-11-27 00:00:00,CASE-016565,,Academic Staff,2,1,6,Post-case survey,3,4,Ownership,Synthetic feedback concerning ownership for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20241127,0
FDB-000077,2025-08-11 00:00:00,CASE-012325,,Student,2,3,1,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250811,1
FDB-000078,2025-12-24 00:00:00,CASE-011820,,Student,2,1,3,Post-case survey,4,5,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251224,1
FDB-000079,2025-10-31 00:00:00,CASE-007354,,Student,2,1,1,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251031,0
FDB-000080,2025-04-25 00:00:00,CASE-010906,,Student,1,1,4,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250425,0
FDB-000081,2025-11-07 00:00:00,CASE-004997,,Student,1,1,2,Post-case survey,4,4,Outcome quality,Synthetic feedback concerning outcome quality for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251107,1
FDB-000082,2025-06-01 00:00:00,CASE-013731,,Student,1,1,4,Post-case survey,5,4,Ease of use,Synthetic feedback concerning ease of use for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250601,1
FDB-000083,2026-03-15 00:00:00,CASE-015062,,Student,1,1,4,Post-case survey,2,3,Ease of use,Synthetic feedback concerning ease of use for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260315,0
FDB-000084,2025-07-14 00:00:00,CASE-002763,,Student,1,1,1,Post-case survey,2,3,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250714,0
FDB-000085,2025-03-10 00:00:00,CASE-002943,,Student,1,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250310,1
FDB-000086,2024-09-21 00:00:00,CASE-010366,,Student,1,1,4,Post-case survey,3,4,Clarity,Synthetic feedback concerning clarity for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20240921,0
FDB-000087,2026-03-28 00:00:00,CASE-011003,,Academic Staff,2,2,6,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260328,1
FDB-000088,2024-10-13 00:00:00,CASE-006130,,Student,2,2,4,Post-case survey,3,4,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20241013,0
FDB-000089,2025-03-14 00:00:00,CASE-002016,,Student,1,1,2,Post-case survey,3,2,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250314,0
FDB-000090,2026-02-08 00:00:00,CASE-012115,,Student,1,1,1,Post-case survey,5,2,Clarity,Synthetic feedback concerning clarity for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20260208,1
FDB-000091,2025-10-25 00:00:00,CASE-001694,,Student,3,1,4,Post-case survey,3,2,Ownership,Synthetic feedback concerning ownership for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20251025,0
FDB-000092,2025-09-02 00:00:00,CASE-003304,,Student,1,1,2,Post-case survey,2,2,Outcome quality,Synthetic feedback concerning outcome quality for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20250902,0
FDB-000093,2026-05-15 00:00:00,CASE-005101,,Student,2,1,2,Post-case survey,3,4,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260515,0
FDB-000094,2025-10-07 00:00:00,CASE-008881,,Academic Staff,3,1,6,Post-case survey,3,2,Ownership,Synthetic feedback concerning ownership for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20251007,0
FDB-000095,2026-07-12 00:00:00,CASE-015604,,Academic Staff,2,1,6,Post-case survey,5,4,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260712,1
FDB-000096,2024-12-24 00:00:00,CASE-012765,,Student,3,2,2,Post-case survey,3,2,Ease of use,Synthetic feedback concerning ease of use for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20241224,0
FDB-000097,2025-03-11 00:00:00,CASE-012276,,Student,1,1,1,Post-case survey,3,2,Outcome quality,Synthetic feedback concerning outcome quality for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250311,0
FDB-000098,2026-04-11 00:00:00,CASE-001614,,Student,1,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260411,1
FDB-000099,2026-06-25 00:00:00,CASE-017243,,Student,3,1,4,Post-case survey,3,3,Outcome quality,Synthetic feedback concerning outcome quality for study spaces.,1,Synthetic demonstration data — not actual University of Sydney results,20260625,0
FDB-000100,2024-10-22 00:00:00,CASE-001011,,Student,1,1,3,Post-case survey,4,3,Clarity,Synthetic feedback concerning clarity for academic progression.,1,Synthetic demonstration data — not actual University of Sydney results,20241022,1
FDB-000101,2025-06-04 00:00:00,CASE-007769,,Student,1,2,3,Post-case survey,4,3,Ownership,Synthetic feedback concerning ownership for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20250604,1
FDB-000102,2024-12-07 00:00:00,CASE-005349,,Student,3,3,3,Post-case survey,5,3,Communication,Synthetic feedback concerning communication for accessibility.,1,Synthetic demonstration data — not actual University of Sydney results,20241207,1
FDB-000103,2025-10-12 00:00:00,CASE-017729,,Student,1,1,1,Post-case survey,1,2,Clarity,Synthetic feedback concerning clarity for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251012,0
FDB-000104,2024-12-22 00:00:00,CASE-014419,,Student,3,2,3,Post-case survey,4,5,Waiting time,Synthetic feedback concerning waiting time for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20241222,1
FDB-000105,2026-02-24 00:00:00,CASE-006148,,Student,1,1,3,Post-case survey,3,2,Ownership,Synthetic feedback concerning ownership for enrolment changes.,1,Synthetic demonstration data — not actual University of Sydney results,20260224,0
FDB-000106,2024-09-20 00:00:00,CASE-007962,,Student,1,1,3,Post-case survey,3,4,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20240920,0
FDB-000107,2025-07-08 00:00:00,CASE-016071,,Student,1,1,3,Post-case survey,2,3,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250708,0
FDB-000108,2025-07-03 00:00:00,CASE-015665,,Student,2,1,4,Post-case survey,4,4,Communication,Synthetic feedback concerning communication for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20250703,1
FDB-000109,2025-04-07 00:00:00,CASE-012120,,Student,3,1,2,Post-case survey,4,5,Outcome quality,Synthetic feedback concerning outcome quality for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20250407,1
FDB-000110,2026-07-01 00:00:00,CASE-017026,,Student,3,3,1,Post-case survey,4,5,Ease of use,Synthetic feedback concerning ease of use for hvac and temperature.,1,Synthetic demonstration data — not actual University of Sydney results,20260701,1
FDB-000111,2024-09-21 00:00:00,CASE-014623,,Student,2,1,1,Post-case survey,3,4,Communication,Synthetic feedback concerning communication for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20240921,0
FDB-000112,2026-07-26 00:00:00,CASE-008273,,Academic Staff,2,1,6,Post-case survey,5,5,Communication,Synthetic feedback concerning communication for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260726,1
FDB-000113,2025-10-04 00:00:00,CASE-008775,,Student,1,2,1,Post-case survey,4,5,Waiting time,Synthetic feedback concerning waiting time for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20251004,1
FDB-000114,2025-06-11 00:00:00,CASE-000772,,Student,1,1,1,Post-case survey,3,2,Outcome quality,Synthetic feedback concerning outcome quality for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20250611,0
FDB-000115,2026-04-04 00:00:00,CASE-016724,,Professional Staff,2,1,7,Post-case survey,3,3,Waiting time,Synthetic feedback concerning waiting time for learning platform.,1,Synthetic demonstration data — not actual University of Sydney results,20260404,0
FDB-000116,2025-03-01 00:00:00,CASE-001656,,Student,2,1,1,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20250301,0
FDB-000117,2025-09-10 00:00:00,CASE-006009,,Student,3,1,3,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for security and lighting.,1,Synthetic demonstration data — not actual University of Sydney results,20250910,1
FDB-000118,2025-08-29 00:00:00,CASE-009592,,Student,1,1,5,Post-case survey,2,3,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20250829,0
FDB-000119,2024-10-29 00:00:00,CASE-010602,,Student,2,2,5,Post-case survey,3,2,Waiting time,Synthetic feedback concerning waiting time for device and software.,1,Synthetic demonstration data — not actual University of Sydney results,20241029,0
FDB-000120,2025-12-18 00:00:00,CASE-010309,,Student,2,1,1,Post-case survey,2,2,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251218,0
FDB-000121,2025-11-06 00:00:00,CASE-017331,,Student,2,1,1,Post-case survey,4,4,Waiting time,Synthetic feedback concerning waiting time for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20251106,1
FDB-000122,2026-06-29 00:00:00,CASE-017224,,Academic Staff,2,1,6,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260629,1
FDB-000123,2025-08-13 00:00:00,CASE-005711,,Student,1,3,1,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20250813,1
FDB-000124,2026-06-27 00:00:00,CASE-000326,,Student,2,1,4,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for account access and login.,1,Synthetic demonstration data — not actual University of Sydney results,20260627,1
FDB-000125,2026-03-04 00:00:00,CASE-017651,,Student,1,1,1,Post-case survey,2,3,Waiting time,Synthetic feedback concerning waiting time for fees and payments.,1,Synthetic demonstration data — not actual University of Sydney results,20260304,0
FDB-000126,2026-05-27 00:00:00,CASE-006043,,Student,1,1,3,Post-case survey,4,3,Waiting time,Synthetic feedback concerning waiting time for documents and letters.,1,Synthetic demonstration data — not actual University of Sydney results,20260527,1
FDB-000127,2025-11-02 00:00:00,CASE-016295,,Student,2,2,1,Post-case survey,3,3,Clarity,Synthetic feedback concerning clarity for wi-fi and network.,1,Synthetic demonstration data — not actual University of Sydney results,20251102,0
FDB-000128,2026-01-26 00:00:00,CASE-013370,,Student,1,1,1,Post-case survey,4,4,Ease of use,Synthetic feedback concerning ease of use for timetable and class allocation.,1,Synthetic demonstration data — not actual University of Sydney results,20260126,1
