date,date_key,service_key,self_service_sessions,successful_completions,abandonments,estimated_cases_deflected,completion_rate,synthetic_label
2024-09-12 00:00:00,20240912,2,125,65,60,25,0.5234,Synthetic demonstration data — not actual University of Sydney results
2024-09-13 00:00:00,20240913,1,191,127,64,68,0.6664,Synthetic demonstration data — not actual University of Sydney results
2024-09-13 00:00:00,20240913,2,174,85,89,35,0.4894,Synthetic demonstration data — not actual University of Sydney results
2024-09-14 00:00:00,20240914,1,145,106,39,47,0.7333,Synthetic demonstration data — not actual University of Sydney results
2024-09-14 00:00:00,20240914,2,101,58,43,34,0.5718,Synthetic demonstration data — not actual University of Sydney results
2024-09-15 00:00:00,20240915,1,86,57,29,27,0.6668,Synthetic demonstration data — not actual University of Sydney results
2024-09-15 00:00:00,20240915,2,104,60,44,24,0.5798,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,1,135,103,32,51,0.7619,Synthetic demonstration data — not actual University of Sydney results
2024-09-16 00:00:00,20240916,2,101,50,51,29,0.4938,Synthetic demonstration data — not actual University of Sydney results
2024-09-17 00:00:00,20240917,1,104,72,32,37,0.6888,Synthetic demonstration data — not actual University of Sydney results
2024-09-17 00:00:00,20240917,2,147,85,62,34,0.5787,Synthetic demonstration data — not actual University of Sydney results
2024-09-18 00:00:00,20240918,1,138,94,44,55,0.6831,Synthetic demonstration data — not actual University of Sydney results
2024-09-18 00:00:00,20240918,2,174,89,85,43,0.5133,Synthetic demonstration data — not actual University of Sydney results
2024-09-19 00:00:00,20240919,1,153,111,42,51,0.7263,Synthetic demonstration data — not actual University of Sydney results
2024-09-19 00:00:00,20240919,2,129,75,54,44,0.5822,Synthetic demonstration data — not actual University of Sydney results
2024-09-20 00:00:00,20240920,1,164,110,54,68,0.6689,Synthetic demonstration data — not actual University of Sydney results
2024-09-20 00:00:00,20240920,2,134,75,59,38,0.5625,Synthetic demonstration data — not actual University of Sydney results
2024-09-21 00:00:00,20240921,1,120,81,39,35,0.6722,Synthetic demonstration data — not actual University of Sydney results
2024-09-21 00:00:00,20240921,2,133,77,56,40,0.5754,Synthetic demonstration data — not actual University of Sydney results
2024-09-22 00:00:00,20240922,1,112,69,43,37,0.6146,Synthetic demonstration data — not actual University of Sydney results
2024-09-22 00:00:00,20240922,2,118,71,47,43,0.5994,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,1,169,123,46,58,0.7298,Synthetic demonstration data — not actual University of Sydney results
2024-09-23 00:00:00,20240923,2,134,74,60,33,0.5517,Synthetic demonstration data — not actual University of Sydney results
2024-09-24 00:00:00,20240924,1,150,101,49,61,0.6705,Synthetic demonstration data — not actual University of Sydney results
2024-09-24 00:00:00,20240924,2,102,61,41,28,0.5983,Synthetic demonstration data — not actual University of Sydney results
2024-09-25 00:00:00,20240925,1,150,107,43,59,0.7154,Synthetic demonstration data — not actual University of Sydney results
2024-09-25 00:00:00,20240925,2,99,55,44,26,0.5533,Synthetic demonstration data — not actual University of Sydney results
2024-09-26 00:00:00,20240926,1,125,74,51,38,0.5956,Synthetic demonstration data — not actual University of Sydney results
2024-09-26 00:00:00,20240926,2,82,45,37,24,0.5435,Synthetic demonstration data — not actual University of Sydney results
2024-09-27 00:00:00,20240927,1,147,92,55,38,0.6278,Synthetic demonstration data — not actual University of Sydney results
2024-09-27 00:00:00,20240927,2,138,71,67,37,0.5118,Synthetic demonstration data — not actual University of Sydney results
2024-09-28 00:00:00,20240928,1,133,91,42,51,0.6853,Synthetic demonstration data — not actual University of Sydney results
2024-09-28 00:00:00,20240928,2,139,84,55,48,0.6047,Synthetic demonstration data — not actual University of Sydney results
2024-09-29 00:00:00,20240929,1,150,106,44,64,0.7034,Synthetic demonstration data — not actual University of Sydney results
2024-09-29 00:00:00,20240929,2,119,71,48,37,0.6005,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,1,113,84,29,46,0.7471,Synthetic demonstration data — not actual University of Sydney results
2024-09-30 00:00:00,20240930,2,133,78,55,40,0.5866,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,1,134,86,48,37,0.6429,Synthetic demonstration data — not actual University of Sydney results
2024-10-01 00:00:00,20241001,2,124,65,59,26,0.5239,Synthetic demonstration data — not actual University of Sydney results
2024-10-02 00:00:00,20241002,1,130,86,44,47,0.6611,Synthetic demonstration data — not actual University of Sydney results
2024-10-02 00:00:00,20241002,2,128,68,60,32,0.5278,Synthetic demonstration data — not actual University of Sydney results
2024-10-03 00:00:00,20241003,1,182,132,50,55,0.7249,Synthetic demonstration data — not actual University of Sydney results
2024-10-03 00:00:00,20241003,2,95,60,35,28,0.6298,Synthetic demonstration data — not actual University of Sydney results
2024-10-04 00:00:00,20241004,1,121,83,38,49,0.6836,Synthetic demonstration data — not actual University of Sydney results
2024-10-04 00:00:00,20241004,2,105,57,48,34,0.5435,Synthetic demonstration data — not actual University of Sydney results
2024-10-05 00:00:00,20241005,1,142,98,44,48,0.687,Synthetic demonstration data — not actual University of Sydney results
2024-10-05 00:00:00,20241005,2,105,56,49,31,0.5333,Synthetic demonstration data — not actual University of Sydney results
2024-10-06 00:00:00,20241006,1,112,82,30,40,0.734,Synthetic demonstration data — not actual University of Sydney results
2024-10-06 00:00:00,20241006,2,93,49,44,25,0.5218,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,1,152,112,40,68,0.7372,Synthetic demonstration data — not actual University of Sydney results
2024-10-07 00:00:00,20241007,2,90,60,30,36,0.6689,Synthetic demonstration data — not actual University of Sydney results
2024-10-08 00:00:00,20241008,1,140,101,39,40,0.7191,Synthetic demonstration data — not actual University of Sydney results
2024-10-08 00:00:00,20241008,2,107,60,47,36,0.5576,Synthetic demonstration data — not actual University of Sydney results
2024-10-09 00:00:00,20241009,1,151,110,41,45,0.7268,Synthetic demonstration data — not actual University of Sydney results
2024-10-09 00:00:00,20241009,2,126,76,50,44,0.5996,Synthetic demonstration data — not actual University of Sydney results
2024-10-10 00:00:00,20241010,1,177,138,39,78,0.7792,Synthetic demonstration data — not actual University of Sydney results
2024-10-10 00:00:00,20241010,2,140,81,59,34,0.5753,Synthetic demonstration data — not actual University of Sydney results
2024-10-11 00:00:00,20241011,1,160,100,60,48,0.6232,Synthetic demonstration data — not actual University of Sydney results
2024-10-11 00:00:00,20241011,2,135,73,62,30,0.5371,Synthetic demonstration data — not actual University of Sydney results
2024-10-12 00:00:00,20241012,1,100,64,36,25,0.6427,Synthetic demonstration data — not actual University of Sydney results
2024-10-12 00:00:00,20241012,2,104,69,35,26,0.6638,Synthetic demonstration data — not actual University of Sydney results
2024-10-13 00:00:00,20241013,1,126,86,40,42,0.6807,Synthetic demonstration data — not actual University of Sydney results
2024-10-13 00:00:00,20241013,2,130,67,63,30,0.5116,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,1,162,114,48,50,0.7032,Synthetic demonstration data — not actual University of Sydney results
2024-10-14 00:00:00,20241014,2,129,72,57,27,0.5569,Synthetic demonstration data — not actual University of Sydney results
2024-10-15 00:00:00,20241015,1,142,94,48,36,0.659,Synthetic demonstration data — not actual University of Sydney results
2024-10-15 00:00:00,20241015,2,140,74,66,28,0.5255,Synthetic demonstration data — not actual University of Sydney results
2024-10-16 00:00:00,20241016,1,114,81,33,31,0.7145,Synthetic demonstration data — not actual University of Sydney results
2024-10-16 00:00:00,20241016,2,147,74,73,32,0.5035,Synthetic demonstration data — not actual University of Sydney results
2024-10-17 00:00:00,20241017,1,159,104,55,49,0.653,Synthetic demonstration data — not actual University of Sydney results
2024-10-17 00:00:00,20241017,2,144,85,59,35,0.5869,Synthetic demonstration data — not actual University of Sydney results
2024-10-18 00:00:00,20241018,1,146,106,40,62,0.7229,Synthetic demonstration data — not actual University of Sydney results
2024-10-18 00:00:00,20241018,2,97,52,45,24,0.534,Synthetic demonstration data — not actual University of Sydney results
2024-10-19 00:00:00,20241019,1,93,58,35,22,0.6225,Synthetic demonstration data — not actual University of Sydney results
2024-10-19 00:00:00,20241019,2,105,58,47,27,0.5488,Synthetic demonstration data — not actual University of Sydney results
2024-10-20 00:00:00,20241020,1,128,84,44,44,0.658,Synthetic demonstration data — not actual University of Sydney results
2024-10-20 00:00:00,20241020,2,65,37,28,17,0.5695,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,1,156,115,41,55,0.7366,Synthetic demonstration data — not actual University of Sydney results
2024-10-21 00:00:00,20241021,2,91,46,45,24,0.5053,Synthetic demonstration data — not actual University of Sydney results
2024-10-22 00:00:00,20241022,1,166,124,42,64,0.7479,Synthetic demonstration data — not actual University of Sydney results
2024-10-22 00:00:00,20241022,2,123,79,44,36,0.646,Synthetic demonstration data — not actual University of Sydney results
2024-10-23 00:00:00,20241023,1,149,109,40,53,0.7348,Synthetic demonstration data — not actual University of Sydney results
2024-10-23 00:00:00,20241023,2,87,44,43,24,0.5044,Synthetic demonstration data — not actual University of Sydney results
2024-10-24 00:00:00,20241024,1,150,100,50,38,0.6689,Synthetic demonstration data — not actual University of Sydney results
2024-10-24 00:00:00,20241024,2,131,77,54,47,0.5871,Synthetic demonstration data — not actual University of Sydney results
2024-10-25 00:00:00,20241025,1,154,100,54,42,0.6517,Synthetic demonstration data — not actual University of Sydney results
2024-10-25 00:00:00,20241025,2,149,81,68,35,0.5426,Synthetic demonstration data — not actual University of Sydney results
2024-10-26 00:00:00,20241026,1,104,78,26,32,0.7468,Synthetic demonstration data — not actual University of Sydney results
2024-10-26 00:00:00,20241026,2,124,59,65,30,0.4771,Synthetic demonstration data — not actual University of Sydney results
2024-10-27 00:00:00,20241027,1,133,93,40,36,0.6973,Synthetic demonstration data — not actual University of Sydney results
2024-10-27 00:00:00,20241027,2,95,51,44,21,0.536,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,1,127,86,41,50,0.6774,Synthetic demonstration data — not actual University of Sydney results
2024-10-28 00:00:00,20241028,2,136,82,54,38,0.6054,Synthetic demonstration data — not actual University of Sydney results
2024-10-29 00:00:00,20241029,1,105,75,30,36,0.7101,Synthetic demonstration data — not actual University of Sydney results
2024-10-29 00:00:00,20241029,2,130,74,56,28,0.5661,Synthetic demonstration data — not actual University of Sydney results
2024-10-30 00:00:00,20241030,1,145,98,47,41,0.6739,Synthetic demonstration data — not actual University of Sydney results
2024-10-30 00:00:00,20241030,2,110,58,52,30,0.5318,Synthetic demonstration data — not actual University of Sydney results
2024-10-31 00:00:00,20241031,1,162,113,49,64,0.6996,Synthetic demonstration data — not actual University of Sydney results
2024-10-31 00:00:00,20241031,2,97,61,36,33,0.624,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,1,122,84,38,41,0.685,Synthetic demonstration data — not actual University of Sydney results
2024-11-01 00:00:00,20241101,2,107,65,42,27,0.6074,Synthetic demonstration data — not actual University of Sydney results
2024-11-02 00:00:00,20241102,1,114,74,40,44,0.6451,Synthetic demonstration data — not actual University of Sydney results
2024-11-02 00:00:00,20241102,2,115,64,51,31,0.5585,Synthetic demonstration data — not actual University of Sydney results
2024-11-03 00:00:00,20241103,1,99,62,37,25,0.6309,Synthetic demonstration data — not actual University of Sydney results
2024-11-03 00:00:00,20241103,2,95,55,40,22,0.5791,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,1,133,90,43,37,0.6771,Synthetic demonstration data — not actual University of Sydney results
2024-11-04 00:00:00,20241104,2,102,43,59,19,0.4196,Synthetic demonstration data — not actual University of Sydney results
2024-11-05 00:00:00,20241105,1,148,99,49,40,0.6716,Synthetic demonstration data — not actual University of Sydney results
2024-11-05 00:00:00,20241105,2,165,86,79,38,0.5202,Synthetic demonstration data — not actual University of Sydney results
2024-11-06 00:00:00,20241106,1,158,91,67,35,0.5732,Synthetic demonstration data — not actual University of Sydney results
2024-11-06 00:00:00,20241106,2,167,106,61,55,0.6336,Synthetic demonstration data — not actual University of Sydney results
2024-11-07 00:00:00,20241107,1,149,107,42,49,0.7181,Synthetic demonstration data — not actual University of Sydney results
2024-11-07 00:00:00,20241107,2,136,83,53,50,0.6088,Synthetic demonstration data — not actual University of Sydney results
2024-11-08 00:00:00,20241108,1,139,101,38,50,0.724,Synthetic demonstration data — not actual University of Sydney results
2024-11-08 00:00:00,20241108,2,143,84,59,50,0.5886,Synthetic demonstration data — not actual University of Sydney results
2024-11-09 00:00:00,20241109,1,134,91,43,38,0.6758,Synthetic demonstration data — not actual University of Sydney results
2024-11-09 00:00:00,20241109,2,74,39,35,18,0.5271,Synthetic demonstration data — not actual University of Sydney results
2024-11-10 00:00:00,20241110,1,101,59,42,24,0.5816,Synthetic demonstration data — not actual University of Sydney results
2024-11-10 00:00:00,20241110,2,110,63,47,36,0.5757,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,1,147,102,45,55,0.6927,Synthetic demonstration data — not actual University of Sydney results
2024-11-11 00:00:00,20241111,2,159,94,65,50,0.5943,Synthetic demonstration data — not actual University of Sydney results
2024-11-12 00:00:00,20241112,1,144,100,44,56,0.6922,Synthetic demonstration data — not actual University of Sydney results
2024-11-12 00:00:00,20241112,2,144,85,59,32,0.5933,Synthetic demonstration data — not actual University of Sydney results
2024-11-13 00:00:00,20241113,1,134,95,39,41,0.7057,Synthetic demonstration data — not actual University of Sydney results
2024-11-13 00:00:00,20241113,2,124,72,52,38,0.5784,Synthetic demonstration data — not actual University of Sydney results
2024-11-14 00:00:00,20241114,1,158,111,47,49,0.7043,Synthetic demonstration data — not actual University of Sydney results
2024-11-14 00:00:00,20241114,2,157,98,59,53,0.6227,Synthetic demonstration data — not actual University of Sydney results
2024-11-15 00:00:00,20241115,1,165,118,47,64,0.7134,Synthetic demonstration data — not actual University of Sydney results
2024-11-15 00:00:00,20241115,2,153,85,68,42,0.5571,Synthetic demonstration data — not actual University of Sydney results
2024-11-16 00:00:00,20241116,1,99,72,27,27,0.7243,Synthetic demonstration data — not actual University of Sydney results
2024-11-16 00:00:00,20241116,2,140,73,67,44,0.5207,Synthetic demonstration data — not actual University of Sydney results
2024-11-17 00:00:00,20241117,1,81,52,29,30,0.6365,Synthetic demonstration data — not actual University of Sydney results
2024-11-17 00:00:00,20241117,2,98,57,41,28,0.586,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,1,143,106,37,62,0.7448,Synthetic demonstration data — not actual University of Sydney results
2024-11-18 00:00:00,20241118,2,146,78,68,36,0.5356,Synthetic demonstration data — not actual University of Sydney results
2024-11-19 00:00:00,20241119,1,114,79,35,31,0.6941,Synthetic demonstration data — not actual University of Sydney results
2024-11-19 00:00:00,20241119,2,139,77,62,46,0.5546,Synthetic demonstration data — not actual University of Sydney results
2024-11-20 00:00:00,20241120,1,161,109,52,53,0.6797,Synthetic demonstration data — not actual University of Sydney results
2024-11-20 00:00:00,20241120,2,185,88,97,47,0.4766,Synthetic demonstration data — not actual University of Sydney results
2024-11-21 00:00:00,20241121,1,141,95,46,58,0.6755,Synthetic demonstration data — not actual University of Sydney results
2024-11-21 00:00:00,20241121,2,142,75,67,34,0.5282,Synthetic demonstration data — not actual University of Sydney results
2024-11-22 00:00:00,20241122,1,112,71,41,37,0.6361,Synthetic demonstration data — not actual University of Sydney results
2024-11-22 00:00:00,20241122,2,97,56,41,29,0.5783,Synthetic demonstration data — not actual University of Sydney results
2024-11-23 00:00:00,20241123,1,144,103,41,55,0.7164,Synthetic demonstration data — not actual University of Sydney results
2024-11-23 00:00:00,20241123,2,89,49,40,30,0.5544,Synthetic demonstration data — not actual University of Sydney results
2024-11-24 00:00:00,20241124,1,111,72,39,32,0.6483,Synthetic demonstration data — not actual University of Sydney results
2024-11-24 00:00:00,20241124,2,94,44,50,17,0.4676,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,1,111,86,25,50,0.7781,Synthetic demonstration data — not actual University of Sydney results
2024-11-25 00:00:00,20241125,2,124,73,51,39,0.5874,Synthetic demonstration data — not actual University of Sydney results
2024-11-26 00:00:00,20241126,1,159,107,52,57,0.6725,Synthetic demonstration data — not actual University of Sydney results
2024-11-26 00:00:00,20241126,2,102,70,32,33,0.6837,Synthetic demonstration data — not actual University of Sydney results
2024-11-27 00:00:00,20241127,1,143,96,47,36,0.674,Synthetic demonstration data — not actual University of Sydney results
2024-11-27 00:00:00,20241127,2,167,92,75,50,0.5499,Synthetic demonstration data — not actual University of Sydney results
2024-11-28 00:00:00,20241128,1,223,149,74,84,0.6681,Synthetic demonstration data — not actual University of Sydney results
2024-11-28 00:00:00,20241128,2,121,66,55,26,0.5439,Synthetic demonstration data — not actual University of Sydney results
2024-11-29 00:00:00,20241129,1,130,81,49,37,0.6217,Synthetic demonstration data — not actual University of Sydney results
2024-11-29 00:00:00,20241129,2,163,93,70,51,0.5692,Synthetic demonstration data — not actual University of Sydney results
2024-11-30 00:00:00,20241130,1,148,101,47,60,0.684,Synthetic demonstration data — not actual University of Sydney results
2024-11-30 00:00:00,20241130,2,103,67,36,25,0.6464,Synthetic demonstration data — not actual University of Sydney results
2024-12-01 00:00:00,20241201,1,159,116,43,44,0.7299,Synthetic demonstration data — not actual University of Sydney results
2024-12-01 00:00:00,20241201,2,100,65,35,31,0.6475,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,1,148,95,53,36,0.6391,Synthetic demonstration data — not actual University of Sydney results
2024-12-02 00:00:00,20241202,2,98,49,49,30,0.4951,Synthetic demonstration data — not actual University of Sydney results
2024-12-03 00:00:00,20241203,1,144,97,47,46,0.6753,Synthetic demonstration data — not actual University of Sydney results
2024-12-03 00:00:00,20241203,2,131,73,58,39,0.5535,Synthetic demonstration data — not actual University of Sydney results
2024-12-04 00:00:00,20241204,1,180,127,53,55,0.7054,Synthetic demonstration data — not actual University of Sydney results
2024-12-04 00:00:00,20241204,2,130,71,59,29,0.543,Synthetic demonstration data — not actual University of Sydney results
2024-12-05 00:00:00,20241205,1,179,112,67,44,0.6232,Synthetic demonstration data — not actual University of Sydney results
2024-12-05 00:00:00,20241205,2,101,62,39,28,0.6171,Synthetic demonstration data — not actual University of Sydney results
2024-12-06 00:00:00,20241206,1,146,109,37,44,0.7484,Synthetic demonstration data — not actual University of Sydney results
2024-12-06 00:00:00,20241206,2,128,66,62,35,0.5166,Synthetic demonstration data — not actual University of Sydney results
2024-12-07 00:00:00,20241207,1,147,93,54,38,0.6328,Synthetic demonstration data — not actual University of Sydney results
2024-12-07 00:00:00,20241207,2,115,61,54,32,0.5262,Synthetic demonstration data — not actual University of Sydney results
2024-12-08 00:00:00,20241208,1,78,50,28,26,0.6418,Synthetic demonstration data — not actual University of Sydney results
2024-12-08 00:00:00,20241208,2,94,52,42,27,0.5554,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,1,165,117,48,68,0.7121,Synthetic demonstration data — not actual University of Sydney results
2024-12-09 00:00:00,20241209,2,142,69,73,35,0.4827,Synthetic demonstration data — not actual University of Sydney results
2024-12-10 00:00:00,20241210,1,127,90,37,35,0.7098,Synthetic demonstration data — not actual University of Sydney results
2024-12-10 00:00:00,20241210,2,154,91,63,47,0.5931,Synthetic demonstration data — not actual University of Sydney results
2024-12-11 00:00:00,20241211,1,174,117,57,63,0.6743,Synthetic demonstration data — not actual University of Sydney results
2024-12-11 00:00:00,20241211,2,125,71,54,32,0.5659,Synthetic demonstration data — not actual University of Sydney results
2024-12-12 00:00:00,20241212,1,226,148,78,69,0.6561,Synthetic demonstration data — not actual University of Sydney results
2024-12-12 00:00:00,20241212,2,199,106,93,55,0.5303,Synthetic demonstration data — not actual University of Sydney results
2024-12-13 00:00:00,20241213,1,107,69,38,29,0.6442,Synthetic demonstration data — not actual University of Sydney results
2024-12-13 00:00:00,20241213,2,119,64,55,28,0.5357,Synthetic demonstration data — not actual University of Sydney results
2024-12-14 00:00:00,20241214,1,109,85,24,34,0.7841,Synthetic demonstration data — not actual University of Sydney results
2024-12-14 00:00:00,20241214,2,161,103,58,57,0.6382,Synthetic demonstration data — not actual University of Sydney results
2024-12-15 00:00:00,20241215,1,89,65,24,29,0.7329,Synthetic demonstration data — not actual University of Sydney results
2024-12-15 00:00:00,20241215,2,101,56,45,32,0.5588,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,1,188,110,78,49,0.5846,Synthetic demonstration data — not actual University of Sydney results
2024-12-16 00:00:00,20241216,2,139,78,61,37,0.5604,Synthetic demonstration data — not actual University of Sydney results
2024-12-17 00:00:00,20241217,1,143,87,56,53,0.6108,Synthetic demonstration data — not actual University of Sydney results
2024-12-17 00:00:00,20241217,2,129,74,55,42,0.5719,Synthetic demonstration data — not actual University of Sydney results
2024-12-18 00:00:00,20241218,1,153,106,47,61,0.6901,Synthetic demonstration data — not actual University of Sydney results
2024-12-18 00:00:00,20241218,2,113,64,49,38,0.5708,Synthetic demonstration data — not actual University of Sydney results
2024-12-19 00:00:00,20241219,1,159,98,61,47,0.6194,Synthetic demonstration data — not actual University of Sydney results
2024-12-19 00:00:00,20241219,2,101,54,47,21,0.5298,Synthetic demonstration data — not actual University of Sydney results
2024-12-20 00:00:00,20241220,1,131,86,45,37,0.6581,Synthetic demonstration data — not actual University of Sydney results
2024-12-20 00:00:00,20241220,2,92,50,42,26,0.5447,Synthetic demonstration data — not actual University of Sydney results
2024-12-21 00:00:00,20241221,1,119,85,34,52,0.7158,Synthetic demonstration data — not actual University of Sydney results
2024-12-21 00:00:00,20241221,2,87,51,36,19,0.5908,Synthetic demonstration data — not actual University of Sydney results
2024-12-22 00:00:00,20241222,1,106,70,36,38,0.6617,Synthetic demonstration data — not actual University of Sydney results
2024-12-22 00:00:00,20241222,2,107,57,50,24,0.5303,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,1,129,89,40,44,0.6912,Synthetic demonstration data — not actual University of Sydney results
2024-12-23 00:00:00,20241223,2,147,84,63,38,0.5703,Synthetic demonstration data — not actual University of Sydney results
2024-12-24 00:00:00,20241224,1,182,137,45,80,0.7545,Synthetic demonstration data — not actual University of Sydney results
2024-12-24 00:00:00,20241224,2,144,90,54,45,0.6249,Synthetic demonstration data — not actual University of Sydney results
2024-12-25 00:00:00,20241225,1,180,127,53,66,0.7065,Synthetic demonstration data — not actual University of Sydney results
2024-12-25 00:00:00,20241225,2,133,73,60,37,0.547,Synthetic demonstration data — not actual University of Sydney results
2024-12-26 00:00:00,20241226,1,133,93,40,40,0.7027,Synthetic demonstration data — not actual University of Sydney results
2024-12-26 00:00:00,20241226,2,178,103,75,60,0.5804,Synthetic demonstration data — not actual University of Sydney results
2024-12-27 00:00:00,20241227,1,140,97,43,48,0.6948,Synthetic demonstration data — not actual University of Sydney results
2024-12-27 00:00:00,20241227,2,138,83,55,36,0.5988,Synthetic demonstration data — not actual University of Sydney results
2024-12-28 00:00:00,20241228,1,135,97,38,56,0.7185,Synthetic demonstration data — not actual University of Sydney results
2024-12-28 00:00:00,20241228,2,108,54,54,28,0.5029,Synthetic demonstration data — not actual University of Sydney results
2024-12-29 00:00:00,20241229,1,76,52,24,21,0.6788,Synthetic demonstration data — not actual University of Sydney results
2024-12-29 00:00:00,20241229,2,121,54,67,22,0.4441,Synthetic demonstration data — not actual University of Sydney results
2024-12-30 00:00:00,20241230,1,180,120,60,56,0.6652,Synthetic demonstration data — not actual University of Sydney results
2024-12-30 00:00:00,20241230,2,113,53,60,27,0.4733,Synthetic demonstration data — not actual University of Sydney results
2024-12-31 00:00:00,20241231,1,136,96,40,55,0.7036,Synthetic demonstration data — not actual University of Sydney results
2024-12-31 00:00:00,20241231,2,146,85,61,33,0.581,Synthetic demonstration data — not actual University of Sydney results
2025-01-01 00:00:00,20250101,1,103,76,27,46,0.7355,Synthetic demonstration data — not actual University of Sydney results
2025-01-01 00:00:00,20250101,2,92,46,46,23,0.5016,Synthetic demonstration data — not actual University of Sydney results
2025-01-02 00:00:00,20250102,1,154,104,50,42,0.6776,Synthetic demonstration data — not actual University of Sydney results
2025-01-02 00:00:00,20250102,2,97,55,42,33,0.5663,Synthetic demonstration data — not actual University of Sydney results
2025-01-03 00:00:00,20250103,1,190,117,73,65,0.6135,Synthetic demonstration data — not actual University of Sydney results
2025-01-03 00:00:00,20250103,2,113,61,52,28,0.5362,Synthetic demonstration data — not actual University of Sydney results
2025-01-04 00:00:00,20250104,1,112,76,36,40,0.6807,Synthetic demonstration data — not actual University of Sydney results
2025-01-04 00:00:00,20250104,2,120,66,54,40,0.5467,Synthetic demonstration data — not actual University of Sydney results
2025-01-05 00:00:00,20250105,1,110,75,35,40,0.6813,Synthetic demonstration data — not actual University of Sydney results
2025-01-05 00:00:00,20250105,2,109,64,45,33,0.5851,Synthetic demonstration data — not actual University of Sydney results
2025-01-06 00:00:00,20250106,1,219,151,68,88,0.6879,Synthetic demonstration data — not actual University of Sydney results
2025-01-06 00:00:00,20250106,2,121,67,54,33,0.5498,Synthetic demonstration data — not actual University of Sydney results
2025-01-07 00:00:00,20250107,1,152,105,47,49,0.6898,Synthetic demonstration data — not actual University of Sydney results
